profile,policy,mean_over_sweep,median_over_sweep,max_over_sweep,min_over_sweep
uniform_wide,MGF,315.5749892602374,314.0367234783946,331.2673139193494,306.6093923609303
uniform_wide,MAF,316.2866791427595,315.1789105376878,328.7097550718307,307.2030373701101
uniform_wide,MIEF,319.2661181139598,319.106551062727,328.66334725776886,310.2214820928442
uniform_wide,Random,317.4943970718997,316.77198083722556,328.7812297934678,308.6267129731192
uniform_low,MGF,318.0530513795823,316.5537065461069,331.6525247788953,310.22712609959365
uniform_low,MAF,318.5902741591691,317.7003634846022,329.54083910299005,310.7248902464675
uniform_low,MIEF,320.90867723643885,321.01660570527724,329.05048591148386,313.1594021572948
uniform_low,Random,319.88683074626476,319.2321189529311,329.56156088911797,312.20368108707714
uniform_mid,MGF,314.93883834312174,312.95956849788735,331.39189738648207,305.8401450796643
uniform_mid,MAF,315.2161300802031,313.7974826742126,328.63644940565257,305.9505668931246
uniform_mid,MIEF,318.71939400966755,318.60145880153266,328.1990267605107,309.3751803145015
uniform_mid,Random,317.15269905251057,316.4115764529912,328.6256977496775,308.1700125910488
uniform_very_wide,MGF,316.59762659486694,315.24615913301193,331.26348054878883,308.2349580271128
uniform_very_wide,MAF,318.29740138594286,317.26261436312893,329.1839759469993,309.82945284906964
uniform_very_wide,MIEF,319.74039893097546,319.2669829726019,328.7007613663278,311.5423470769121
uniform_very_wide,Random,318.7202061060103,318.04879659123844,329.0984157911727,310.4893007125926
uniform_with_perfect_outliers,MGF,315.74804731432994,314.2145435644379,331.28298535960516,306.9934963892707
uniform_with_perfect_outliers,MAF,316.44749417353154,315.1560792978342,328.9733781659962,307.5374803776779
uniform_with_perfect_outliers,MIEF,319.60682514042213,319.299270745429,329.24629117875855,310.76600107044703
uniform_with_perfect_outliers,Random,317.8669788502617,317.06977280564763,328.8026832162549,309.27120238209557
bimodal_extreme,MGF,314.2168396234732,312.78891317597936,330.9319677036948,304.3218417647987
bimodal_extreme,MAF,316.0737300948035,315.05625629646033,329.4395859360931,306.5534285556512
bimodal_extreme,MIEF,317.00739969879817,317.16734802905,326.5556057679155,308.4591163460015
bimodal_extreme,Random,316.8962625330355,316.1242670704621,328.33773103863484,307.9357662710089
bimodal_balanced,MGF,315.96564107520817,315.0663093421682,330.93431096475217,307.3537057020301
bimodal_balanced,MAF,317.8976134518597,316.63646608814093,329.8904360533262,309.0757191787716
bimodal_balanced,MIEF,318.48924683466146,319.15338042869394,326.8024781749811,310.082557095908
bimodal_balanced,Random,318.63858159668024,317.95146273473546,328.9712134348199,310.61392076592426
bimodal_q1_vs_lossy_30_70,MGF,317.0907371929256,315.8804245513731,331.31777447902715,308.84830363373874
bimodal_q1_vs_lossy_30_70,MAF,318.8065729389325,317.6658036714265,330.05304334735314,310.6963827332203
bimodal_q1_vs_lossy_30_70,MIEF,319.60368774336837,319.31082267262235,327.5434481248987,311.72646775617415
bimodal_q1_vs_lossy_30_70,Random,319.6955242005889,319.04883986249155,329.22372064259935,312.27610844977283
bimodal_q1_vs_lossy_70_30,MGF,313.1002722898621,311.3745498803045,330.9937491507494,302.648181593573
bimodal_q1_vs_lossy_70_30,MAF,314.0729058081303,312.54253698299294,328.8784400524818,304.12948043400706
bimodal_q1_vs_lossy_70_30,MIEF,316.9544891441169,317.70842778592845,326.08312515540064,307.93981086559745
bimodal_q1_vs_lossy_70_30,Random,315.4016253773992,314.5501394768387,327.70411336649533,305.8995557795784
trimodal_perfect_mid_low,MGF,315.34076930200285,314.34014630759475,331.13305919874705,306.3516463558308
trimodal_perfect_mid_low,MAF,317.062552901277,315.9455915727126,329.35816983791085,308.18166640551465
trimodal_perfect_mid_low,MIEF,318.8494173605458,318.96951680410154,327.18408102586767,310.15207699734145
trimodal_perfect_mid_low,Random,318.0207673661242,317.2412933367257,328.83434363294543,309.6387472989967
source_split_perfect_or_lossy,MGF,315.3197142873506,314.54313168944043,331.16052501827085,305.6841445961248
source_split_perfect_or_lossy,MAF,316.81101233292037,315.6686639361511,329.2475769709861,308.01927279065876
source_split_perfect_or_lossy,MIEF,318.6430237669637,318.68091116967787,326.82471392683624,309.55107291294127
source_split_perfect_or_lossy,Random,317.84933267389295,317.2059386485522,328.8602442911423,309.0041929900581
adversarial_perfect_with_critical_lossy,MGF,311.21278357918663,308.5910495247455,331.2462792834539,300.16242162536344
adversarial_perfect_with_critical_lossy,MAF,310.52753331854325,308.8439902492546,326.61139240536386,299.92875481314485
adversarial_perfect_with_critical_lossy,MIEF,315.0407549949515,313.5771620635888,325.7357132028707,309.61328582838104
adversarial_perfect_with_critical_lossy,Random,312.74356111765485,311.70760337444676,326.85602271805317,302.0198769936042
