Number of Tasks,Random,MAF,MEF,MGF
3,1431.9468030288876,146.64675586198365,58.56518341193362,46.8930463377732
6,2968.1328709449276,1323.378095980469,113.65971126259589,75.18774641092362
9,3801.091830649224,3315.0196971914565,122.92242673981809,96.02829790701726
12,4328.169522935573,4039.9620673296513,148.12616137445335,120.67253157324478
15,4676.999819252003,4633.01772861129,189.9411085118287,140.06560539014745
