profile,km,policy,mean_error,std_error,weights_mode,seed,titer,mc_trials,subgradient_method,q_min,q_max,q_mean,q_std
uniform_wide,3,MGF,34.41183333813856,15.0519531495417,deterministic,0,1000,10,adam,0.35172525510719327,0.9782422595472029,0.6683497759949615,0.18690963988595402
uniform_wide,3,MAF,74.75815103399604,28.533309251964177,deterministic,0,1000,10,adam,0.35172525510719327,0.9782422595472029,0.6683497759949615,0.18690963988595402
uniform_wide,3,MIEF,41.24145154683579,24.94196354798045,deterministic,0,1000,10,adam,0.35172525510719327,0.9782422595472029,0.6683497759949615,0.18690963988595402
uniform_wide,3,Random,1158.6414610521217,273.075682199874,deterministic,0,1000,10,adam,0.35172525510719327,0.9782422595472029,0.6683497759949615,0.18690963988595402
uniform_wide,6,MGF,62.41695760781007,35.606048382758395,deterministic,0,1000,10,adam,0.35172525510719327,0.9782422595472029,0.6900428959416037,0.19370537676847185
uniform_wide,6,MAF,764.6491300714239,315.1683703402015,deterministic,0,1000,10,adam,0.35172525510719327,0.9782422595472029,0.6900428959416037,0.19370537676847185
uniform_wide,6,MIEF,75.35724883254949,40.499229717598595,deterministic,0,1000,10,adam,0.35172525510719327,0.9782422595472029,0.6900428959416037,0.19370537676847185
uniform_wide,6,Random,2680.850818327461,384.46339600520037,deterministic,0,1000,10,adam,0.35172525510719327,0.9782422595472029,0.6900428959416037,0.19370537676847185
uniform_wide,9,MGF,71.59372970603246,4.290986273481858,deterministic,0,1000,10,adam,0.35172525510719327,0.9782422595472029,0.6910627557164845,0.1902503139999702
uniform_wide,9,MAF,2947.144005123673,158.4926526023923,deterministic,0,1000,10,adam,0.35172525510719327,0.9782422595472029,0.6910627557164845,0.1902503139999702
uniform_wide,9,MIEF,82.81600503122756,6.468431988639516,deterministic,0,1000,10,adam,0.35172525510719327,0.9782422595472029,0.6910627557164845,0.1902503139999702
uniform_wide,9,Random,3427.3584683704757,430.14705818493206,deterministic,0,1000,10,adam,0.35172525510719327,0.9782422595472029,0.6910627557164845,0.1902503139999702
uniform_wide,12,MGF,91.82332417687851,4.171122799848461,deterministic,0,1000,10,adam,0.35172525510719327,0.9782422595472029,0.6849104376249653,0.18908621677626303
uniform_wide,12,MAF,3901.8116264088253,72.50891204171766,deterministic,0,1000,10,adam,0.35172525510719327,0.9782422595472029,0.6849104376249653,0.18908621677626303
uniform_wide,12,MIEF,111.09113553941418,11.422386884521584,deterministic,0,1000,10,adam,0.35172525510719327,0.9782422595472029,0.6849104376249653,0.18908621677626303
uniform_wide,12,Random,4147.272970965646,269.29388227399295,deterministic,0,1000,10,adam,0.35172525510719327,0.9782422595472029,0.6849104376249653,0.18908621677626303
uniform_wide,15,MGF,114.35489858781155,6.075949749837431,deterministic,0,1000,10,adam,0.3501894347673614,0.9782422595472029,0.690371909574042,0.18746295435824206
uniform_wide,15,MAF,4527.793123450771,34.845881490301004,deterministic,0,1000,10,adam,0.3501894347673614,0.9782422595472029,0.690371909574042,0.18746295435824206
uniform_wide,15,MIEF,144.4554111101043,18.08699881189006,deterministic,0,1000,10,adam,0.3501894347673614,0.9782422595472029,0.690371909574042,0.18746295435824206
uniform_wide,15,Random,4472.439729201184,367.85982099551444,deterministic,0,1000,10,adam,0.3501894347673614,0.9782422595472029,0.690371909574042,0.18746295435824206
uniform_low,3,MGF,41.0832922581074,13.631273007131572,deterministic,0,1000,10,adam,0.3509584750595518,0.6990234775262238,0.5268609866638676,0.10383868882553
uniform_low,3,MAF,118.37990057364638,63.19147158755209,deterministic,0,1000,10,adam,0.3509584750595518,0.6990234775262238,0.5268609866638676,0.10383868882553
uniform_low,3,MIEF,49.279149212298705,28.20638790260486,deterministic,0,1000,10,adam,0.3509584750595518,0.6990234775262238,0.5268609866638676,0.10383868882553
uniform_low,3,Random,1689.666588028086,368.3046259848525,deterministic,0,1000,10,adam,0.3509584750595518,0.6990234775262238,0.5268609866638676,0.10383868882553
uniform_low,6,MGF,77.20155401680155,36.66077648321431,deterministic,0,1000,10,adam,0.3509584750595518,0.6990234775262238,0.5389127199675576,0.10761409820470658
uniform_low,6,MAF,1303.3449900956125,145.04038461884082,deterministic,0,1000,10,adam,0.3509584750595518,0.6990234775262238,0.5389127199675576,0.10761409820470658
uniform_low,6,MIEF,101.09313673227805,64.9418785319461,deterministic,0,1000,10,adam,0.3509584750595518,0.6990234775262238,0.5389127199675576,0.10761409820470658
uniform_low,6,Random,3165.6817854483456,410.8537177025962,deterministic,0,1000,10,adam,0.3509584750595518,0.6990234775262238,0.5389127199675576,0.10761409820470658
uniform_low,9,MGF,92.59395313334835,6.090868348302312,deterministic,0,1000,10,adam,0.3509584750595518,0.6990234775262238,0.5394793087313804,0.10569461888887233
uniform_low,9,MAF,3304.6138637345766,214.44508324069963,deterministic,0,1000,10,adam,0.3509584750595518,0.6990234775262238,0.5394793087313804,0.10569461888887233
uniform_low,9,MIEF,108.04986855211942,6.236035052317222,deterministic,0,1000,10,adam,0.3509584750595518,0.6990234775262238,0.5394793087313804,0.10569461888887233
uniform_low,9,Random,4049.3740165035024,412.67059419786,deterministic,0,1000,10,adam,0.3509584750595518,0.6990234775262238,0.5394793087313804,0.10569461888887233
uniform_low,12,MGF,130.83065882485832,10.514352554711039,deterministic,0,1000,10,adam,0.3509584750595518,0.6990234775262238,0.5360613542360918,0.105047898209035
uniform_low,12,MAF,4038.4689423935547,49.17134117567144,deterministic,0,1000,10,adam,0.3509584750595518,0.6990234775262238,0.5360613542360918,0.105047898209035
uniform_low,12,MIEF,153.21063551718314,24.428688231194727,deterministic,0,1000,10,adam,0.3509584750595518,0.6990234775262238,0.5360613542360918,0.105047898209035
uniform_low,12,Random,4580.216289779308,309.6393191027809,deterministic,0,1000,10,adam,0.3509584750595518,0.6990234775262238,0.5360613542360918,0.105047898209035
uniform_low,15,MGF,160.36295770869825,9.318502861044031,deterministic,0,1000,10,adam,0.350105241537423,0.6990234775262238,0.5390955053189121,0.10414608575457893
uniform_low,15,MAF,4619.751500411625,47.61271204941699,deterministic,0,1000,10,adam,0.350105241537423,0.6990234775262238,0.5390955053189121,0.10414608575457893
uniform_low,15,MIEF,214.09151889920508,45.35983164353414,deterministic,0,1000,10,adam,0.350105241537423,0.6990234775262238,0.5390955053189121,0.10414608575457893
uniform_low,15,Random,4963.838299024008,301.5637606424619,deterministic,0,1000,10,adam,0.350105241537423,0.6990234775262238,0.5390955053189121,0.10414608575457893
uniform_mid,3,MGF,27.53125571207666,0.9077454643819449,deterministic,0,1000,10,adam,0.5508215500510445,0.8491629807367633,0.7015951314261721,0.08900459042188286
uniform_mid,3,MAF,52.814986614442624,3.610717887154557,deterministic,0,1000,10,adam,0.5508215500510445,0.8491629807367633,0.7015951314261721,0.08900459042188286
uniform_mid,3,MIEF,28.653158218835348,2.0125114331828744,deterministic,0,1000,10,adam,0.5508215500510445,0.8491629807367633,0.7015951314261721,0.08900459042188286
uniform_mid,3,Random,985.9092109638739,303.0581850429347,deterministic,0,1000,10,adam,0.5508215500510445,0.8491629807367633,0.7015951314261721,0.08900459042188286
uniform_mid,6,MGF,50.21015727852627,2.347348014695747,deterministic,0,1000,10,adam,0.5508215500510445,0.8491629807367633,0.7119251885436209,0.09224065560403419
uniform_mid,6,MAF,499.91455348931794,208.91778634867094,deterministic,0,1000,10,adam,0.5508215500510445,0.8491629807367633,0.7119251885436209,0.09224065560403419
uniform_mid,6,MIEF,53.34966242197572,2.2743988629372294,deterministic,0,1000,10,adam,0.5508215500510445,0.8491629807367633,0.7119251885436209,0.09224065560403419
uniform_mid,6,Random,2508.9758906670477,466.4841550466593,deterministic,0,1000,10,adam,0.5508215500510445,0.8491629807367633,0.7119251885436209,0.09224065560403419
uniform_mid,9,MGF,68.47987110791554,3.5761470511358047,deterministic,0,1000,10,adam,0.5508215500510445,0.8491629807367633,0.712410836055469,0.0905953876190334
uniform_mid,9,MAF,2325.0326723017333,492.96405932243357,deterministic,0,1000,10,adam,0.5508215500510445,0.8491629807367633,0.712410836055469,0.0905953876190334
uniform_mid,9,MIEF,75.52279924670775,3.951403687712195,deterministic,0,1000,10,adam,0.5508215500510445,0.8491629807367633,0.712410836055469,0.0905953876190334
uniform_mid,9,Random,3355.7571935794317,455.6524142275455,deterministic,0,1000,10,adam,0.5508215500510445,0.8491629807367633,0.712410836055469,0.0905953876190334
uniform_mid,12,MGF,88.83726333447774,4.721542990306318,deterministic,0,1000,10,adam,0.5508215500510445,0.8491629807367633,0.709481160773793,0.09004105560774427
uniform_mid,12,MAF,3346.127323935244,441.90487676451176,deterministic,0,1000,10,adam,0.5508215500510445,0.8491629807367633,0.709481160773793,0.09004105560774427
uniform_mid,12,MIEF,101.37051083164074,3.60958225226839,deterministic,0,1000,10,adam,0.5508215500510445,0.8491629807367633,0.709481160773793,0.09004105560774427
uniform_mid,12,Random,4132.030457689035,247.30224023210664,deterministic,0,1000,10,adam,0.5508215500510445,0.8491629807367633,0.709481160773793,0.09004105560774427
uniform_mid,15,MGF,108.54996314806708,2.849543872155891,deterministic,0,1000,10,adam,0.5500902070320769,0.8491629807367633,0.7120818617019248,0.08926807350392478
uniform_mid,15,MAF,4062.8433123223244,282.32716389649977,deterministic,0,1000,10,adam,0.5500902070320769,0.8491629807367633,0.7120818617019248,0.08926807350392478
