profile,N,Random,MAF,MEF,MGF
q=1 (deterministic ref),1,329.3963578130841,329.58208284706046,328.8664063277389,332.0729912323187
q=1 (deterministic ref),2,326.9034615296381,326.611392405364,325.7357132028708,330.17041209004293
q=1 (deterministic ref),3,324.5678945638509,323.65088714811475,323.1008008682723,328.2227366633485
q=1 (deterministic ref),4,322.54238442759595,321.0576487720907,320.62912791014793,324.19570206477994
q=1 (deterministic ref),5,320.6271460441383,318.6534918182723,318.77260667879574,322.87450029067827
q=1 (deterministic ref),6,318.8919731882263,316.6431925153457,317.5260393255732,319.94144587708087
q=1 (deterministic ref),7,317.2863166950993,314.71117038689073,316.42725425672205,317.143799663074
q=1 (deterministic ref),8,315.72423988970024,312.71004011089747,315.6240337566113,315.14233416055015
uniform_wide,1,330.26804139839845,330.3353732182675,329.78028995842726,330.2795195608131
uniform_wide,2,328.56766161778023,328.6711341274561,328.6458092362368,328.2243713415554
uniform_wide,3,326.8989857147438,326.9853278351123,327.70168798186353,326.26482686890404
uniform_wide,4,325.3588399323434,325.03694307671,326.70861721065705,324.1309416805758
uniform_wide,5,323.95742391489586,323.27087600691266,325.7101387721986,321.930200353995
uniform_wide,6,322.56219604019634,321.6906311634733,324.12867350186565,320.46172503071216
uniform_wide,7,321.27676521889,320.0048374793539,322.7223765051375,319.8135476281362
uniform_wide,8,320.03799376507897,318.74975011744823,321.6816373504133,317.9270170381576
uniform_low,1,330.740659954407,330.6866339480782,330.22137453283204,330.65251860407113
uniform_low,2,329.34805881929117,329.40484938653987,329.07638892315646,329.1774071828624
uniform_low,3,327.9221533219188,327.96504150367895,328.0629329258012,327.2514077983622
uniform_low,4,326.7009254472719,326.36411799812333,327.1096260061073,325.8667250550159
uniform_low,5,325.51985035219894,324.8369552127966,326.1892016982701,324.76291152054637
uniform_low,6,324.30848187479427,323.29705913756436,325.19639130483716,323.46772606600723
uniform_low,7,323.2107833389049,322.05462094366897,324.20925475606947,321.79716533150315
uniform_low,8,322.11763652986895,320.66458692188564,323.1804676549003,320.76166332777746
uniform_mid,1,330.2386083014279,330.2406902989839,329.83831503264827,330.4483988846525
uniform_mid,2,328.44858532491537,328.34736365546075,328.2311807136777,328.9450791536517
uniform_mid,3,326.705156204316,326.3404492428705,326.96348205749035,327.15494133066244
uniform_mid,4,325.1182582820278,324.40011818192,325.90200451164276,324.3938213389614
uniform_mid,5,323.68236210311807,322.4503757974666,325.06088250279674,323.05754356323905
uniform_mid,6,322.21711790142615,320.64680255030623,324.2089749591057,321.07198410969863
uniform_mid,7,320.88224841134894,319.23507045166536,322.91690423041626,320.17817919759653
