profile,N,Random,MAF,MEF,MGF
uniform_mid,8,319.5774837319548,317.6263845677171,321.75322969355,317.6966654535893
uniform_very_wide,1,330.469224796286,330.5451480727553,329.79291755974754,330.3325161461365
uniform_very_wide,2,328.8757065375167,329.2057480047321,328.687184515338,327.7873386884186
uniform_very_wide,3,327.3347212340908,327.99194219161785,327.9937503342061,326.442537137842
uniform_very_wide,4,325.92075064322796,326.4174346524791,327.2012806366756,323.9637352193521
uniform_very_wide,5,324.7250412226156,324.75893197822904,325.9935117985192,323.13743325641286
uniform_very_wide,6,323.4502925525782,323.1541832135261,324.40846632638784,320.46988350811483
uniform_very_wide,7,322.26738413846965,321.7924731414564,322.92328158375574,319.46682488067523
uniform_very_wide,8,321.1198406656307,320.59905094423493,321.86876953485256,318.3011117355885
uniform_with_perfect_outliers,1,330.38310031132494,330.4019584484046,329.8681167752145,330.27443601937176
uniform_with_perfect_outliers,2,328.70505962332146,328.8315528846541,329.2462911787586,328.3917936423808
uniform_with_perfect_outliers,3,327.0692944666358,327.0375048559418,328.8058604859578,326.73820108789795
uniform_with_perfect_outliers,4,325.5868434242369,325.1286717690445,327.33910722950475,323.74571615338493
uniform_with_perfect_outliers,5,324.23123019763386,323.41503359241824,325.27390483790884,322.067481335588
uniform_with_perfect_outliers,6,322.8227580653567,321.659689371647,324.06663939933287,320.5199153717531
uniform_with_perfect_outliers,7,321.5816947179154,320.1448306652695,323.04156220998027,319.06892238900184
uniform_with_perfect_outliers,8,320.3155800763946,318.9398901849289,322.02452196587194,318.0979499704637
bimodal_extreme,1,330.1000178284832,331.0459711083326,329.22565354920937,331.32502398386384
bimodal_extreme,2,328.2617739392499,329.5222050716541,326.54058909466335,328.8188525168863
bimodal_extreme,3,326.4694129711238,327.5458512291494,324.2858767406383,326.30995965830164
bimodal_extreme,4,324.88630090512515,325.7233824956777,322.7345522131333,323.12087667414977
bimodal_extreme,5,323.37636924710716,323.9523095756787,321.62045730932687,321.06790393690403
bimodal_extreme,6,321.92099978364826,322.3038039602041,320.6525306535899,319.9878398505813
bimodal_extreme,7,320.6430555742709,320.6622335053361,319.92018122399134,318.9636426950252
bimodal_extreme,8,319.3605388079241,319.00827351974897,319.19339435745275,317.2474566836443
bimodal_balanced,1,330.37803972926156,331.02553476115185,329.23982536187293,330.6891698528435
bimodal_balanced,2,328.83823875335617,329.8746306534369,326.69882952895614,328.1693510189678
bimodal_balanced,3,327.15360134749073,328.1905891838352,324.8967941762971,325.27248650981846
bimodal_balanced,4,325.79582322643216,326.5151428891715,323.73475372307314,324.03688237739976
bimodal_balanced,5,324.4009566640205,325.05038872104626,322.8575963055501,323.3808255863818
bimodal_balanced,6,323.0652347675641,323.62722824367586,322.22221916051205,320.7761378241911
bimodal_balanced,7,321.91271521018,321.82369226629385,321.64562660605253,320.22548356425443
bimodal_balanced,8,320.7507589586809,320.5267526179006,321.15345897448157,319.1338453637297
bimodal_q1_vs_lossy_30_70,1,330.66918375432,331.0260782199715,329.2104611384013,330.3595045754029
bimodal_q1_vs_lossy_30_70,2,329.200807434526,329.8911100739816,327.54344812489865,328.03741512243926
bimodal_q1_vs_lossy_30_70,3,327.6787754763257,328.34198164526975,326.7402276247882,326.3633323671636
bimodal_q1_vs_lossy_30_70,4,326.4029391994688,327.0085608044895,326.2997969319874,324.9662673237922
bimodal_q1_vs_lossy_30_70,5,325.2008830194358,325.5777006834668,325.8593662391865,323.72027003004365
bimodal_q1_vs_lossy_30_70,6,323.99885476941074,324.0599514264098,325.4189355463853,322.18416665376765
bimodal_q1_vs_lossy_30_70,7,322.9188391761,322.81854155157123,323.7037301729916,320.58400742050355
bimodal_q1_vs_lossy_30_70,8,321.78955985421874,321.46968100172097,322.65406650278624,319.6355625964164
bimodal_q1_vs_lossy_70_30,1,329.82723316934596,330.6090094213959,328.86549292796076,331.2396155897178
bimodal_q1_vs_lossy_70_30,2,327.74456575150305,328.40430722675404,326.0831251554007,329.0552260150579
bimodal_q1_vs_lossy_70_30,3,325.70560115172964,326.12087291852447,323.7269209184923,326.15936528053885
bimodal_q1_vs_lossy_70_30,4,323.97835350103276,324.17408922024117,322.17537662620475,325.23767126700284
bimodal_q1_vs_lossy_70_30,5,322.31950348922555,322.0110385755085,321.07659155735325,321.1512616513986
bimodal_q1_vs_lossy_70_30,6,320.75827296675374,319.9591746678699,320.27337105724274,319.6072939502136
bimodal_q1_vs_lossy_70_30,7,319.38072029001506,318.2407865537532,319.47015055713166,317.9725640366446
bimodal_q1_vs_lossy_70_30,8,318.0279057871892,316.8287252884014,319.02971986433124,316.34483202342443
trimodal_perfect_mid_low,1,330.35307738037375,330.6548367384042,329.1379552904654,330.555714844904
trimodal_perfect_mid_low,2,328.7518653305101,329.114844359281,327.1840810258676,328.92707588050934
trimodal_perfect_mid_low,3,326.9632099404115,327.5314443112917,326.2330782413864,326.50693839668304
trimodal_perfect_mid_low,4,325.5161719441876,325.87120271713326,325.6112526449307,324.5430626025528
trimodal_perfect_mid_low,5,324.09182994344076,324.13920432688184,325.17082195212976,322.2447412627144
trimodal_perfect_mid_low,6,322.7809215945816,322.418512033135,324.7303912593287,320.07370682558656
trimodal_perfect_mid_low,7,321.51660318317846,320.83341921309346,324.28996056652767,319.3881767886922
trimodal_perfect_mid_low,8,320.3607509289435,319.4091421126908,322.129780475354,317.9428268380231
source_split_perfect_or_lossy,1,330.3944155978828,330.71621174092854,329.0685156072583,330.98859660189885
source_split_perfect_or_lossy,2,328.75947462022776,329.0839529196129,326.8247139268362,328.3299174218546
source_split_perfect_or_lossy,3,326.92592472026496,327.44510015798323,325.72592885798497,326.59755502067804
source_split_perfect_or_lossy,4,325.4783498726151,325.4088923987431,324.9227083578738,323.8467809143903
source_split_perfect_or_lossy,5,324.0767419826167,323.86958720515605,324.48227766507324,323.1312357132125
source_split_perfect_or_lossy,6,322.73895815379626,322.27698471612564,324.0418469722721,321.06063193497823
source_split_perfect_or_lossy,7,321.4530862422709,320.6980356291368,323.6014162794715,319.60494854360314
source_split_perfect_or_lossy,8,320.24185343078767,319.3268416098423,323.16098558667056,318.3108696029943
adversarial_perfect_with_critical_lossy,1,329.3963578130841,329.58208284706046,328.8664063277389,332.0729912323187
adversarial_perfect_with_critical_lossy,2,326.9034615296381,326.611392405364,325.7357132028708,330.17041209004293
adversarial_perfect_with_critical_lossy,3,324.5678945638509,323.65088714811475,323.1008008682723,328.2227366633485
adversarial_perfect_with_critical_lossy,4,322.54238442759595,321.0576487720907,320.62912791014793,324.19570206477994
adversarial_perfect_with_critical_lossy,5,320.6271460441383,318.6534918182723,318.77260667879574,322.87450029067827
adversarial_perfect_with_critical_lossy,6,318.8919731882263,316.6431925153457,317.5260393255732,319.94144587708087
adversarial_perfect_with_critical_lossy,7,317.2863166950993,314.71117038689073,316.42725425672205,317.143799663074
adversarial_perfect_with_critical_lossy,8,315.72423988970024,312.71004011089747,315.6240337566113,315.14233416055015
