profile,N,policy,mean_error,std_error,weights_mode,seed,titer,mc_trials,subgradient_method,q_min,q_max,q_mean,q_std
uniform_wide,2,MGF,18.03908464412651,0.1574192681254226,deterministic,0,1000,10,adam,0.35172525510719327,0.9782422595472029,0.6881095739294153,0.18952605248324084
uniform_wide,2,MAF,19.452436443027395,0.02397995992133802,deterministic,0,1000,10,adam,0.35172525510719327,0.9782422595472029,0.6881095739294153,0.18952605248324084
uniform_wide,2,MIEF,18.03908464412651,0.1574192681254226,deterministic,0,1000,10,adam,0.35172525510719327,0.9782422595472029,0.6881095739294153,0.18952605248324084
uniform_wide,2,Random,19.582972242048463,0.1357850890368098,deterministic,0,1000,10,adam,0.35172525510719327,0.9782422595472029,0.6881095739294153,0.18952605248324084
uniform_wide,4,MGF,18.03851838506625,0.15741425466273792,deterministic,0,1000,10,adam,0.35172525510719327,0.9782422595472029,0.6881095739294153,0.18952605248324084
uniform_wide,4,MAF,19.27054179894106,0.04188524603022188,deterministic,0,1000,10,adam,0.35172525510719327,0.9782422595472029,0.6881095739294153,0.18952605248324084
uniform_wide,4,MIEF,18.003722361054315,0.15760309909281417,deterministic,0,1000,10,adam,0.35172525510719327,0.9782422595472029,0.6881095739294153,0.18952605248324084
uniform_wide,4,Random,19.421244532663923,0.1955035413772482,deterministic,0,1000,10,adam,0.35172525510719327,0.9782422595472029,0.6881095739294153,0.18952605248324084
uniform_wide,6,MGF,18.02778046827253,0.15768548701860616,deterministic,0,1000,10,adam,0.35172525510719327,0.9782422595472029,0.6881095739294153,0.18952605248324084
uniform_wide,6,MAF,19.061642797621932,0.031391072168893766,deterministic,0,1000,10,adam,0.35172525510719327,0.9782422595472029,0.6881095739294153,0.18952605248324084
uniform_wide,6,MIEF,17.98426596299427,0.15797167357656625,deterministic,0,1000,10,adam,0.35172525510719327,0.9782422595472029,0.6881095739294153,0.18952605248324084
uniform_wide,6,Random,19.23606954743324,0.17068196393724924,deterministic,0,1000,10,adam,0.35172525510719327,0.9782422595472029,0.6881095739294153,0.18952605248324084
uniform_wide,8,MGF,18.01201780459497,0.1566211716249849,deterministic,0,1000,10,adam,0.35172525510719327,0.9782422595472029,0.6881095739294153,0.18952605248324084
uniform_wide,8,MAF,18.894133249105757,0.05802373500511829,deterministic,0,1000,10,adam,0.35172525510719327,0.9782422595472029,0.6881095739294153,0.18952605248324084
uniform_wide,8,MIEF,17.958679848401324,0.157786783955888,deterministic,0,1000,10,adam,0.35172525510719327,0.9782422595472029,0.6881095739294153,0.18952605248324084
uniform_wide,8,Random,19.118867024682817,0.1490259234118809,deterministic,0,1000,10,adam,0.35172525510719327,0.9782422595472029,0.6881095739294153,0.18952605248324084
uniform_wide,10,MGF,17.99836158403418,0.15628438121650615,deterministic,0,1000,10,adam,0.35172525510719327,0.9782422595472029,0.6881095739294153,0.18952605248324084
uniform_wide,10,MAF,18.779144353285623,0.07435525520643492,deterministic,0,1000,10,adam,0.35172525510719327,0.9782422595472029,0.6881095739294153,0.18952605248324084
uniform_wide,10,MIEF,17.934415448182616,0.1576067830605854,deterministic,0,1000,10,adam,0.35172525510719327,0.9782422595472029,0.6881095739294153,0.18952605248324084
uniform_wide,10,Random,18.957666313521425,0.18767837330443485,deterministic,0,1000,10,adam,0.35172525510719327,0.9782422595472029,0.6881095739294153,0.18952605248324084
