Number of Sources,Random,MAF,MEF,MGF
2,834.8995102632067,76.23042869902376,49.59891634225853,44.37885070841848
4,1056.7803441823103,134.873619406048,57.27704493259135,47.00038853011749
6,1791.3448598961113,166.56556927186352,73.31306820938886,55.7661240218629
8,2480.25067156294,260.4524645401602,60.91317797260767,55.10803221119094
10,3175.2115235942974,804.3104483458847,76.5174675400084,56.152320851984484
12,3612.406693878459,1672.2863651085197,84.65963073371042,68.59634135222136
14,3215.8359007484232,2177.1624063847385,105.22170303938663,90.55628236545408
16,3828.749061114162,3116.6459968051204,148.50833355372984,91.76751863941725
18,3800.736867151103,3159.7219614612827,143.47007263075074,99.89387500745576
20,4097.548504338915,3235.3955597366635,140.13906104404023,105.88119533057048
