profile,policy,mean_over_sweep,median_over_sweep,max_over_sweep,min_over_sweep
uniform_wide,MGF,1594.0966246689306,172.306110483691,8942.900323278209,111.8636910450142
uniform_wide,MAF,5183.6101455038515,4976.656690043837,12233.818206558297,373.2675658247029
uniform_wide,MIEF,1341.2250724408918,232.41760951055375,7543.878572567322,127.50941530026451
uniform_wide,Random,6998.315690814949,6563.143133988773,11782.2283090252,3730.2326455077955
uniform_low,MGF,2183.4013544181025,240.37055990256314,10178.738882169582,128.78410113584715
uniform_low,MAF,6320.8159621726345,6284.405645623743,12710.1354835739,1050.5744038181524
uniform_low,MIEF,1875.521310840666,375.30177235342137,8967.77490097262,149.8758245057413
uniform_low,Random,8049.849493413007,7793.507057793249,12033.046331657159,4969.856422041905
uniform_mid,MGF,1490.4815380464263,169.8169420604217,8714.273402553794,108.8633422513218
uniform_mid,MAF,4651.118066069067,3900.6560117283325,11781.633546587158,271.8178649928681
uniform_mid,MIEF,1315.7955170382902,191.40812038121615,8042.206828191968,115.17810530936553
uniform_mid,Random,6876.043954180629,6469.421174082059,11684.319928278774,3485.038506344156
uniform_very_wide,MGF,1896.125970186405,218.46348328259586,9404.968229128963,127.85858479530904
uniform_very_wide,MAF,6322.20001377244,6178.447723331059,12836.272142553313,1012.9931697726754
uniform_very_wide,MIEF,1533.2114754864392,290.9523806542152,7600.800631280459,149.4828845068263
uniform_very_wide,Random,7468.090653334892,7153.836978420095,11901.520992794995,4260.278917274852
uniform_with_perfect_outliers,MGF,1678.4170731946251,174.50621764890406,9252.117660287153,115.12283267171055
uniform_with_perfect_outliers,MAF,5155.69437905594,4910.721478167447,11997.64212746708,392.15314408361
uniform_with_perfect_outliers,MIEF,1466.5529842367846,252.7886960417796,8111.8898921378595,127.24627395672678
uniform_with_perfect_outliers,Random,7275.697523099932,6932.041662466132,11811.963946193926,4012.5042469157474
bimodal_extreme,MGF,2198.4399280017483,344.24875796723194,9543.761553353781,161.82059055593885
bimodal_extreme,MAF,5958.612236530176,5835.486854983594,12965.680810319867,927.638522241719
bimodal_extreme,MIEF,1579.646846417125,447.4048166252803,6744.631117707232,257.07792319370554
bimodal_extreme,Random,7190.489716525098,6832.964278655096,11710.043415102795,4031.8139555337716
bimodal_balanced,MGF,2113.700950714602,289.5474993424501,9451.83166930895,142.8015145002823
bimodal_balanced,MAF,6003.439912161147,5873.517514741903,12769.144563575883,889.1588533458211
bimodal_balanced,MIEF,1683.1866841516792,342.80488100424026,7522.384516321373,186.06757142815746
bimodal_balanced,Random,7654.992013171774,7369.401274132331,11899.68035426714,4570.4044157507715
bimodal_q1_vs_lossy_30_70,MGF,2517.1542919924404,451.0190536530473,10012.423822946683,169.9144606838533
bimodal_q1_vs_lossy_30_70,MAF,6857.151183641099,6525.969384771876,13330.515350140002,1670.827995776793
bimodal_q1_vs_lossy_30_70,MIEF,2266.29339011892,640.5570212308321,8610.522498668555,240.4391219896649
bimodal_q1_vs_lossy_30_70,Random,8238.455461541766,8036.440460893384,12161.95833411579,5253.746412078701
bimodal_q1_vs_lossy_70_30,MGF,1973.3880466872833,195.51796656699628,9600.253308287243,112.00609006379759
bimodal_q1_vs_lossy_70_30,MAF,4844.133776301565,4233.4501397857675,12057.038982136704,339.0025171716817
bimodal_q1_vs_lossy_70_30,MIEF,1208.7667466112002,225.34892160171273,6484.3470585500345,143.53342267596477
bimodal_q1_vs_lossy_70_30,Random,6627.557552974389,6128.451354960796,11614.20856543713,3327.6235887601665
trimodal_perfect_mid_low,MGF,2126.2845389602576,273.9116107134791,9442.096629990414,135.96046269016307
trimodal_perfect_mid_low,MAF,6119.110585487415,6105.564642523593,12965.672188743838,876.5248892373522
trimodal_perfect_mid_low,MIEF,1637.266507135746,356.95985608594555,7678.444040085548,174.05059978059984
trimodal_perfect_mid_low,Random,7535.95817206241,7133.290517414683,11857.932617739843,4462.803694905042
source_split_perfect_or_lossy,MGF,1884.7199717498584,223.20169437463994,9118.332222549407,121.35966207860561
source_split_perfect_or_lossy,MAF,5391.238772781931,4986.645197352155,12749.90451032553,521.1109290166161
source_split_perfect_or_lossy,MIEF,1415.8868925133816,248.82669582704793,7337.355576841714,147.1211685616783
source_split_perfect_or_lossy,Random,7226.483148945636,6809.846409482192,11743.774027763977,4068.898817762381
adversarial_perfect_with_critical_lossy,MGF,1279.6183097837456,159.2162590654975,7429.667293253175,90.06284409825778
adversarial_perfect_with_critical_lossy,MAF,4379.862269227988,3971.6256660162844,9556.852254503621,297.48464822301236
adversarial_perfect_with_critical_lossy,MIEF,836.6060333474627,131.30377602017597,6424.222926027347,88.57192690428356
adversarial_perfect_with_critical_lossy,Random,5361.051432693325,4660.848202263781,11168.63872311764,1811.9462894659162
