profile,policy,mean_over_sweep,median_over_sweep,max_over_sweep,min_over_sweep
uniform_wide,MGF,119.15967184286865,114.88615993133149,186.78636655290643,75.57972946636315
uniform_wide,MAF,1760.0728628591764,712.8883807793628,5888.438149072607,92.55071414661542
uniform_wide,MIEF,144.29737632022608,141.36498442384448,245.9832049645304,78.42312232970616
uniform_wide,Random,4079.877528023383,4623.2537983962575,6836.605928830015,996.004751435222
uniform_low,MGF,156.6027855342893,139.03532390391769,298.59180789997447,87.55194142287993
uniform_low,MAF,2719.0502942707108,1799.6826452091564,6790.967335137774,143.63015014441842
uniform_low,MIEF,208.24819844319958,168.5969569193636,449.58437289631183,97.75143410836375
uniform_low,Random,5088.076467372092,5692.06580792957,7900.155521166443,1610.7107400759983
uniform_mid,MGF,113.78438733487496,114.73323209991727,159.73012649676133,68.88609047543366
uniform_mid,MAF,1273.9797748941403,402.71264819754174,5144.766907796962,77.16292207583786
uniform_mid,MIEF,126.49256204104854,121.72480963975467,202.5098938241502,70.34336309995174
uniform_mid,Random,3805.619155712092,4368.582238566361,6654.2229890863455,745.7689037801803
uniform_very_wide,MGF,151.40047771648045,150.20877051012445,245.70236580773462,88.61844446368475
uniform_very_wide,MAF,2676.490197101835,1876.6796876387036,6794.30465899128,177.9608151038613
uniform_very_wide,MIEF,217.47568503662893,201.5347069834638,347.7700588067999,122.91635376236347
uniform_very_wide,Random,4587.333487634428,5231.431957122196,7404.100523317744,1515.3166880152726
uniform_with_perfect_outliers,MGF,123.67254824480258,119.17797844986961,191.6991485424234,72.9551602472925
uniform_with_perfect_outliers,MAF,1825.1471386534656,670.3450070590408,5911.346577316826,91.29901987472496
uniform_with_perfect_outliers,MIEF,155.6708803745177,145.8276733825303,285.1007367280418,79.42679014911621
uniform_with_perfect_outliers,Random,4368.100265357118,4995.080331002538,7040.7107382783815,1164.8324735465396
bimodal_extreme,MGF,204.9650004265437,190.82622762705415,347.7981743089023,112.52479546288755
bimodal_extreme,MAF,2486.119434703633,1554.85328825338,6298.9202240815275,237.4723440064612
bimodal_extreme,MIEF,284.45335547687796,292.2049033538948,506.09195180851066,149.7174908163892
bimodal_extreme,Random,4576.608869666895,4866.347278628915,6986.65340034347,1817.8400554512232
bimodal_balanced,MGF,162.0217534561932,148.16259242284423,291.9658985327309,90.65577348535093
bimodal_balanced,MAF,2511.710988225527,1626.4018704343057,6161.148866943162,205.64593890273227
bimodal_balanced,MIEF,209.9235826919939,196.4296908860386,379.4057224748106,107.30474592316239
bimodal_balanced,Random,4911.872253527848,5488.737363331438,7464.292506572352,1716.1054681887963
bimodal_q1_vs_lossy_30_70,MGF,217.52776940878707,162.82604769229056,521.6804334942634,92.78719631332962
bimodal_q1_vs_lossy_30_70,MAF,3053.1609749808217,2498.7105178147144,6825.150738675222,157.3369034765897
bimodal_q1_vs_lossy_30_70,MIEF,310.24454819025743,235.56129391950236,732.2183284734866,98.46959909325467
bimodal_q1_vs_lossy_30_70,Random,5540.074155662777,6124.128304537087,8178.793250222802,2020.251263921818
bimodal_q1_vs_lossy_70_30,MGF,125.55177182138736,124.72212703106554,209.2018165652586,70.60089514309482
bimodal_q1_vs_lossy_70_30,MAF,1472.0244365391716,572.4898784689686,5654.417582067836,97.21596152987203
bimodal_q1_vs_lossy_70_30,MIEF,152.97769265161324,150.63346504586818,262.69907869012343,78.67854192971544
bimodal_q1_vs_lossy_70_30,Random,3890.8977418874965,4172.105572472894,6355.0011241250895,1150.9477791799977
trimodal_perfect_mid_low,MGF,169.41475253277116,152.10333871445062,299.4607250749129,74.34227679213272
trimodal_perfect_mid_low,MAF,2558.487931315819,1520.7680046675396,6380.349135809494,104.67823034425464
trimodal_perfect_mid_low,MIEF,242.99180725423508,212.63662870393475,445.6717804184606,73.07273438897204
trimodal_perfect_mid_low,Random,4642.338105534871,5179.798786238642,7374.565714135114,978.6454112875078
source_split_perfect_or_lossy,MGF,136.10999421353557,131.43279996536637,227.58229215219467,66.70893187754855
source_split_perfect_or_lossy,MAF,2146.6472040023605,1327.9493579561704,6073.565789666189,75.55325887811523
source_split_perfect_or_lossy,MIEF,179.61215171661664,157.74510417752163,310.1332342373946,69.55562537402845
source_split_perfect_or_lossy,Random,4345.69196261344,5032.608275574491,7081.391900567685,679.4347714182124
adversarial_perfect_with_critical_lossy,MGF,105.19052380556653,114.40006066665858,143.36188496646193,60.36655989777385
adversarial_perfect_with_critical_lossy,MAF,1472.8138070942161,611.9008012388517,5421.210688633744,83.42701783175497
adversarial_perfect_with_critical_lossy,MIEF,95.78613729694246,94.67623889882188,139.00725586500863,59.7414957559807
adversarial_perfect_with_critical_lossy,Random,2479.140639094077,2708.483074699872,5004.592664304506,336.80174845688117
