Number of Tasks,Random,MAF,MEF,MGF
3,2088.224921575833,112.42245298887443,50.21853622993329,41.67556776662671
6,3378.839710766265,1595.4238740122632,108.69876104952111,78.49209388619951
9,4097.548504338915,3235.3955597366635,140.13906104404023,105.88119533057048
12,4711.753742295545,4233.991777032201,223.0151609104975,163.24534709791502
15,5058.657542235068,4683.420137740812,358.16735931385136,227.12716051676222
