channel,Random,MAF,MGF,MEF
2,5989.15059403451,6074.477450263061,2731.3551480322617,2213.9615535754706
4,5335.540993260475,4851.069868058406,362.59228263592684,421.6609106992049
6,4723.596553643014,4924.644090823801,175.89606161839163,233.69841076997855
8,4184.62129064937,4154.729183411439,127.38373451352234,170.19039880333858
10,3792.569489632721,3241.5669488367175,96.93277543160984,127.34266837727421
12,3360.905718114548,2902.7429384985653,80.71725261788546,104.45399773253742
14,3030.347890465805,1822.5017678798795,72.24722395140162,94.4167165573737
16,2697.244147643695,1313.9465867902172,65.94891674778604,88.28805259704662
18,2403.407502218704,945.2392183298643,61.30970756941849,82.61959438037916
20,2168.5849768293983,573.1056676319452,58.48264222303536,76.64503574605092
