profile,M,policy,mean_error,std_error,weights_mode,seed,titer,mc_trials,subgradient_method,q_min,q_max,q_mean,q_std
uniform_wide,2,MGF,36.87412895451231,2.421333312416884,deterministic,0,1000,10,adam,0.35172525510719327,0.939095626986294,0.6833623385697012,0.21044703810169754
uniform_wide,2,MAF,44.51033957534855,7.750031932292564,deterministic,0,1000,10,adam,0.35172525510719327,0.939095626986294,0.6833623385697012,0.21044703810169754
uniform_wide,2,MIEF,39.96397331646734,3.730699411916727,deterministic,0,1000,10,adam,0.35172525510719327,0.939095626986294,0.6833623385697012,0.21044703810169754
uniform_wide,2,Random,447.48960657763234,360.940321789714,deterministic,0,1000,10,adam,0.35172525510719327,0.939095626986294,0.6833623385697012,0.21044703810169754
uniform_wide,4,MGF,38.45052489679339,3.7840092168060733,deterministic,0,1000,10,adam,0.35172525510719327,0.9782422595472029,0.6790019710137102,0.19061448441489814
uniform_wide,4,MAF,49.11791535036548,8.249686142562481,deterministic,0,1000,10,adam,0.35172525510719327,0.9782422595472029,0.6790019710137102,0.19061448441489814
uniform_wide,4,MIEF,41.19751646597952,6.041210048255654,deterministic,0,1000,10,adam,0.35172525510719327,0.9782422595472029,0.6790019710137102,0.19061448441489814
uniform_wide,4,Random,536.1129825430911,351.23705019476773,deterministic,0,1000,10,adam,0.35172525510719327,0.9782422595472029,0.6790019710137102,0.19061448441489814
uniform_wide,6,MGF,38.024565996162906,2.736632633488155,deterministic,0,1000,10,adam,0.35172525510719327,0.9782422595472029,0.6802051971259905,0.18662800819219028
uniform_wide,6,MAF,60.38979756549152,9.683421085399784,deterministic,0,1000,10,adam,0.35172525510719327,0.9782422595472029,0.6802051971259905,0.18662800819219028
uniform_wide,6,MIEF,40.88207650444218,4.978647713405772,deterministic,0,1000,10,adam,0.35172525510719327,0.9782422595472029,0.6802051971259905,0.18662800819219028
uniform_wide,6,Random,1258.7241338398335,472.74956821923206,deterministic,0,1000,10,adam,0.35172525510719327,0.9782422595472029,0.6802051971259905,0.18662800819219028
uniform_wide,8,MGF,40.85384816275994,3.8276903925060717,deterministic,0,1000,10,adam,0.35172525510719327,0.9782422595472029,0.6626581877898834,0.1861296943739391
uniform_wide,8,MAF,106.94155796493972,16.139857380153607,deterministic,0,1000,10,adam,0.35172525510719327,0.9782422595472029,0.6626581877898834,0.1861296943739391
uniform_wide,8,MIEF,51.71406058512529,19.37225666652957,deterministic,0,1000,10,adam,0.35172525510719327,0.9782422595472029,0.6626581877898834,0.1861296943739391
