channel,Random,MAF,MEF,MGF
2,12081.131606928207,13243.050798724536,8590.137369780196,9700.936492178176
4,10820.683811019444,9944.92767074765,5992.517542001017,6338.578576338905
6,9754.770905659056,9578.444012147587,3659.3895197882657,3668.3683438213657
8,8926.71338122594,9042.512485808795,1441.812478101565,1234.4745130952717
10,8178.793250222802,6825.150738675222,732.2183284734866,521.6804334942634
12,7523.799827347631,6194.383370791473,465.1807042205539,308.14443965627527
14,6803.283473303757,5267.521867376361,355.2056035243206,233.10793098611708
16,6232.6002083143785,3662.0423788167536,255.65793441385517,199.98566100510334
18,5677.163137219277,2657.2490252996313,233.65530403913712,174.0406492586722
20,5219.4412576243585,1690.7876022934518,221.17174917930956,163.8499974413135
