Number of Tasks,Random,MAF,MEF,MGF
3,2889.7762569208567,277.07030930341205,153.30086993349448,115.30448103626955
6,5355.403679577488,2740.1941547552697,247.92452255076768,155.25592533518198
9,7404.100523317744,6794.30465899128,346.92350046988565,245.70236580773462
12,8581.291109823338,8088.366612855889,801.7069214474229,687.795960138839
15,9373.923330888156,9306.29974313199,1819.6475482927185,1238.4507714940432
