Number of Sources,Random,MAF,MEF,MGF
2,2020.251263921818,157.3369034765897,98.46959909325467,92.78719631332962
4,2562.025758369318,236.43241453935352,153.15626705005232,110.8352963470262
6,3643.4914568067625,329.8174606756653,136.95297016392811,114.37945929852965
8,4407.400015731014,501.30767715436957,146.9590277342823,127.22587023448787
10,5553.495641298056,1482.7618679512193,180.8710712478096,139.7423371631267
12,6694.760967776119,3514.6591676782095,290.2515165911951,185.90975822145444
14,6993.642187001764,4900.374259029179,378.500726937137,263.7885379068158
16,7797.323049162265,6140.562031375626,423.92136673500426,279.4533432014956
18,7549.557966337861,6443.2072292527855,561.1446078764246,339.4754619073412
20,8178.793250222802,6825.150738675222,732.2183284734866,521.6804334942634
