gamma,N,Random,MAF,MEF,MGF
0.05,1,0.30368011266938244,0.3182364170592683,0.28900528556642685,0.28901048694457826
0.05,2,0.2882199466217893,0.318003294562144,0.27259570020148616,0.27250524526612335
0.05,3,0.26958242122577897,0.31635256250709015,0.258799057170316,0.2587926873855168
0.05,4,0.26357362825499236,0.31433546428669035,0.2550687888767114,0.2550624209606204
0.05,5,0.26357362825499236,0.31433546428669035,0.2550687888767114,0.2550624209606204
0.05,6,0.26357362825499236,0.31433546428669035,0.2550687888767114,0.2550624209606204
0.1,1,0.32499432930739663,0.34086181408598126,0.30937648178520105,0.3093968323022863
0.1,2,0.30794136507684267,0.34026562933314763,0.29061748726809417,0.29042868525053334
0.1,3,0.2872432343308149,0.3365123827456899,0.27534979726112496,0.2753221252446273
0.1,4,0.2802065952234811,0.3324759772204838,0.2711962222981482,0.2861193323877231
0.1,5,0.2802065952234811,0.3324759772204838,0.2711962222981482,0.27116837764893015
0.1,6,0.2802065952234811,0.3324759772204838,0.2711962222981482,0.27116837764893015
0.2,1,0.3768273089701573,0.39589402645108857,0.35867123717897054,0.3587489401725198
0.2,2,0.35555786691480107,0.39385905562606816,0.3340751262488686,0.3336696995440529
0.2,3,0.3297917464430391,0.38416363256468544,0.3152419004069879,0.315105791837278
0.2,4,0.3200278975997655,0.37606055446526915,0.3099609968135054,0.30983016412024217
0.2,5,0.3200278975997655,0.37606055446526915,0.3099609968135054,0.3098301644878193
0.2,6,0.3200278975997655,0.37606055446526915,0.3099609968135054,0.3098301644878193
0.3,1,0.44576426269438074,0.4690010459251558,0.42369295621388936,0.45405277755383117
0.3,2,0.41818667546731886,0.4636407927066533,0.3910095821889949,0.40780627687247295
0.3,3,0.385564997900943,0.44483521528442516,0.36740735801535385,0.3671457397778928
0.3,4,0.37177450442086135,0.4325944244332406,0.36041107525395966,0.36007137836787884
0.3,5,0.37177450442086135,0.4325944244332406,0.36041107525395966,0.3600714000174537
0.3,6,0.37177450442086135,0.4325944244332406,0.36041107525395966,0.3600714000174537
0.4,1,0.5412128041963218,0.570035766392433,0.5128364235551272,0.5441371972744098
0.4,2,0.5037760647955981,0.557341685508438,0.4683936775105725,0.4856967692589508
0.4,3,0.4614253845380963,0.524760374942945,0.4380735996053658,0.43758676128303264
0.4,4,0.44153165766325736,0.5082518586216467,0.4283018600057683,0.4276126082419117
0.4,5,0.44153165766325736,0.5082518586216467,0.4283018600057683,0.4276126082419117
0.4,6,0.44153165766325736,0.5082518586216467,0.4283018600057683,0.4276126082419117
0.5,1,0.6805713141647165,0.71719358827344,0.6416337549150588,0.6736533238331249
0.5,2,0.6268847098443452,0.6887634089077954,0.5790398415611027,0.5963022761411156
0.5,3,0.5698006440208827,0.6352744028169917,0.5386418831276436,0.5369486024889495
0.5,4,0.5403523236079114,0.6142329013348763,0.524034948082684,0.5228084625246748
0.5,5,0.5403523236079114,0.6142329013348763,0.524034948082684,0.5228084625246748
0.5,6,0.5403523236079114,0.6142329013348763,0.524034948082684,0.5228084625246748
0.6,1,0.8995644917470181,0.9473606773786452,0.8421843623262291,0.8888214297355536
0.6,2,0.8171060370927521,0.8852530012035874,0.7490652202752417,0.7656939172341647
0.6,3,0.7357053487373172,0.7992164427223964,0.6922017165871539,0.687539101862342
0.6,4,0.6905813447799025,0.7730196385013243,0.6684130326376918,0.6664145006736846
0.6,5,0.6905813447799025,0.7730196385013243,0.6684130326376918,0.6664145006736846
0.6,6,0.6905813447799025,0.7730196385013243,0.6684130326376918,0.6664145006736846
0.7,1,1.2837183503644505,1.3465469984694698,1.1923942087412516,1.2446912901774072
0.7,2,1.1445635201916438,1.210139423631388,1.0408742198789358,1.0507919665471581
0.7,3,1.0179894303328385,1.0701876499251173,0.9531910988395893,0.989598815929414
0.7,4,0.944861901794392,1.0371906834351912,0.9099667708457027,0.9074857749958317
0.7,5,0.944861901794392,1.0371906834351912,0.9099667708457027,0.9286710321074807
0.7,6,0.944861901794392,1.0371906834351912,0.9099667708457027,0.9286710321074807
0.8,1,2.0962034211020235,2.1697988900250142,1.9368770789741383,2.011937090522015
0.8,2,1.8229355396692322,1.8531757948836756,1.6482680079198662,1.675283770240339
0.8,3,1.5949420871376387,1.6099502541988393,1.487215080353345,1.475838447836044
0.8,4,1.4620722122647265,1.5649588971048012,1.3949148384862033,1.3931068490617826
0.8,5,1.4620722122647265,1.5649588971048012,1.3949148384862033,1.3931068490617826
0.8,6,1.4620722122647265,1.5649588971048012,1.3949148384862033,1.3931068490617826
0.9,1,4.684972561571175,4.692212267474715,4.367361043786353,4.3644006320143385
0.9,2,3.936009574022398,3.7720620255698973,3.58243192293408,3.453082539468818
0.9,3,3.367179385463414,3.2344284973137376,3.1407479037585317,3.111763186379692
0.9,4,3.0406224668780153,3.152593386714515,2.8635054251846994,2.8678692078210393
0.9,5,3.0406224668780153,3.152593386714515,2.8635054251846994,2.897959474043158
0.9,6,3.0406224668780153,3.152593386714515,2.8635054251846994,2.897959474043158
0.95,1,10.006193301550509,9.807867762606039,9.552760195528755,9.125267767649337
0.95,2,8.195737277826698,7.591237043979339,7.585087515486433,7.203452046076646
0.95,3,6.926597648012031,6.478708137321169,6.4944645959364085,6.214378482324769
0.95,4,6.19308346068073,6.317802165426419,5.815526264806541,5.868202364232749
0.95,5,6.19308346068073,6.317802165426419,5.815526264806541,5.868188923713944
0.95,6,6.19308346068073,6.317802165426419,5.815526264806541,5.868188923713944
0.99,1,33.731879266232646,32.93858960535591,33.60788815917814,30.97851082202427
0.99,2,26.884029741275853,24.560793327390652,25.60215617242372,23.52821727205664
0.99,3,22.596142931158397,20.93127418028337,21.3952932854136,20.623646219664582
0.99,4,20.01531519901786,20.39342174177948,19.03000823410335,19.05643489486543
0.99,5,20.01531519901786,20.39342174177948,19.03000823410335,19.05643489486543
0.99,6,20.01531519901786,20.39342174177948,19.03000823410335,19.05643489486543
