Number of Tasks,Random,MAF,MGF,MEF
3,3073.9106103734766,221.36815935015153,104.73060999702417,142.39343175703306
6,6730.952521599638,3806.0388509574877,226.5834918061415,272.88928329780504
9,8334.72247691028,6785.503426981818,476.0722101590528,695.538396918715
12,9201.249126346398,8608.809706188547,1440.0302719941242,1495.6497213751686
15,10056.492534622426,9414.788963826508,3371.0328469199667,3273.9913365172006
