channel,Random,MAF,MEF,MGF
2,6024.657144942916,6614.57120717029,2658.701797515034,3075.865961785545
4,5402.360311828753,4873.697470835641,582.4497359023788,599.7239124465782
6,4911.813107463384,4851.334263068888,276.8875817694442,233.23525300949822
8,4485.799863808947,4319.139246010121,171.08197811186002,141.92022567395128
10,4097.548504338915,3235.3955597366635,140.13906104404023,105.88119533057048
12,3769.7449715223584,3087.0156353528837,118.49249753752945,89.46954687334461
14,3344.862166706793,2405.901881502369,109.02216163635356,76.87431261265964
16,2996.257424966825,1658.4399679061898,89.82643196134515,71.09047881255245
18,2764.634071377694,1327.8778251676374,82.30786512924232,65.63916076251641
20,2529.198060727577,803.3298421408601,78.43630379155975,60.66123607881606
