Number of Sources,Random,MAF,MEF,MGF
2,1711.4123866942514,177.9608151038613,122.91635376236347,94.62541524534245
4,1515.3166880152726,179.4577457305052,123.64216423883704,88.61844446368475
6,2610.646033130047,200.52062675361128,166.4921238891974,105.10323295496846
8,3582.6931782047022,587.6762958819105,210.6569116342072,151.9035298370142
10,4924.286750777335,1243.202482619458,218.45612443517945,148.5140111832347
12,5538.577163467056,2510.1568926579494,192.41250233272038,141.8243533801751
14,5595.331843728258,3569.70727596593,191.46334347730274,152.923938414509
16,6301.830477572564,5283.925559880404,254.02376731979612,177.72345818254135
18,6689.13983143705,6217.98961743344,347.7700588067999,207.06602769560013
20,7404.100523317744,6794.30465899128,346.92350046988565,245.70236580773462
