M,profile,method,titer,mc_trials,seed,mean_objective,std_objective,training_runtime_s,final_lambda_max,final_mu_max,tail_stability_lambda,tail_stability_mu,avg_compute_violation,avg_channel_violation
6,uniform_wide,harmonic,100,3,0,81.239130109325,0.9797660514308651,0.21463082000082068,2.977922088665342,20.145097591630236,0.003621307044183286,0.028129135111118586,4.398466666666667,27.999899999999997
6,uniform_wide,sqrt,100,3,0,79.4962863205101,4.4723128349360115,0.2034511689998908,2.527794752601095,21.33113210364681,0.0521658518742243,0.4520540788667351,3.924633333333334,25.006499999999996
6,uniform_wide,normalized,100,3,0,80.1207965532828,3.850389102679052,0.19863792699834448,0.9376627610236973,5.291826786339779,0.004630694413690672,0.0230497870015888,6.2956166666666675,39.7537
6,uniform_wide,adagrad,100,3,0,77.87221725513363,3.5962076455492284,0.19482142299966654,7.302304231100482,7.93935918368447,0.03592059992129318,0.046259319733198655,1.1329,7.335000000000001
6,uniform_wide,adam,100,3,0,80.6160241940143,2.5442135315533605,0.1956745890001912,8.37863185733174,17.403709328673038,0.1494020059030975,0.13969852623469675,0.8087500000000002,3.894600000000001
6,uniform_low,harmonic,100,3,0,100.28222242749332,4.359057578690721,0.19462662899968564,2.7389594957127694,19.098585856144094,0.0019249275315478265,0.037531209099394176,4.407033333333334,28.010499999999997
6,uniform_low,sqrt,100,3,0,100.16450452177764,4.290040011302737,0.19758910600103263,2.029002924554001,18.37091454259911,0.009224954615853364,0.2536609261927515,3.916983333333334,24.917899999999996
6,uniform_low,normalized,100,3,0,102.18837758830368,4.383578100664887,0.19291023500045412,0.8297247970228592,4.822222449243194,0.0025863960339850803,0.021336011690085706,6.324933333333335,39.9296
6,uniform_low,adagrad,100,3,0,100.62504357040184,3.885826013631165,0.19313245200100937,6.720049219549835,8.04221727083786,0.03800768422624298,0.034570350138567976,0.9241333333333334,6.337000000000001
6,uniform_low,adam,100,3,0,99.95395215827928,4.196748248705765,0.21411149699997623,7.5611481992875635,18.440388299556183,0.1699540813187955,0.15686606562887356,0.9414666666666669,5.6968
6,bimodal_extreme,harmonic,100,3,0,101.76918514039971,7.618751877308699,0.1948549640001147,3.8818633029435277,22.987230731601457,0.0061648590231440205,0.015467874463750326,4.52195,28.741600000000002
6,bimodal_extreme,sqrt,100,3,0,111.60775306472071,19.443034640651838,0.1973497809995024,4.30246641063955,25.119743694051927,0.04454177389570733,0.34312969737756677,4.038033333333334,25.560299999999994
6,bimodal_extreme,normalized,100,3,0,106.00781130718424,4.25084578039429,0.19489287600117677,0.9391748826181229,5.362262094441447,0.003593825929406865,0.024084385251146943,6.369000000000002,40.1889
