channel,Random,MAF,MEF,MGF
2,11900.349530297228,12687.132135727657,7717.214266805061,9077.451713352926
4,10478.466671143684,9726.104211318892,4229.322720145097,4863.997551649165
6,9321.039981926115,9678.480166922218,1628.4023780290759,1639.3349643033475
8,8256.491094580535,8938.089426385157,609.5568632218808,481.4979666850778
10,7404.100523317744,6794.30465899128,346.92350046988565,245.70236580773462
12,6592.988958772655,5922.269050699981,291.68560192535904,196.6159522973041
14,5899.252536837568,4027.9348740936985,240.6283193030074,164.26696998380385
16,5335.444058959628,2597.2134881290217,209.81184423080717,147.14105335584128
18,4707.437385127792,1840.1845648099443,196.15446858903329,135.2934861223939
20,4262.87612280442,1087.0294038248544,174.38980038066325,129.01023205675318
