profile,policy,mean_over_sweep,median_over_sweep,max_over_sweep,min_over_sweep
uniform_wide,MGF,74.92014868333423,71.59372970603246,114.35489858781155,34.41183333813856
uniform_wide,MAF,2443.2312072177383,2947.144005123673,4527.793123450771,74.75815103399604
uniform_wide,MIEF,90.99225041202627,82.81600503122756,144.4554111101043,41.24145154683579
uniform_wide,Random,3177.312689583378,3427.3584683704757,4472.439729201184,1158.6414610521217
uniform_low,MGF,100.41448318836277,92.59395313334835,160.36295770869825,41.0832922581074
uniform_low,MAF,2676.911839441803,3304.6138637345766,4619.751500411625,118.37990057364638
uniform_low,MIEF,125.14486178261689,108.04986855211942,214.09151889920508,49.279149212298705
uniform_low,Random,3689.75539575665,4049.3740165035024,4963.838299024008,1689.666588028086
uniform_mid,MGF,68.72170211621265,68.47987110791554,108.54996314806708,27.53125571207666
uniform_mid,MAF,2057.3465697326124,2325.0326723017333,4062.8433123223244,52.814986614442624
uniform_mid,MIEF,76.41980422942777,75.52279924670775,123.20289042797931,28.653158218835348
uniform_mid,Random,3088.25308334668,3355.7571935794317,4458.592663834014,985.9092109638739
uniform_very_wide,MGF,95.76944552382126,96.02829790701726,140.06560539014745,46.8930463377732
uniform_very_wide,MAF,2691.6048689949703,3315.0196971914565,4633.01772861129,146.64675586198365
uniform_very_wide,MIEF,126.64291826012592,122.92242673981809,189.9411085118287,58.56518341193362
uniform_very_wide,Random,3441.2681693621225,3801.091830649224,4676.999819252003,1431.9468030288876
uniform_with_perfect_outliers,MGF,80.59087020299202,74.40414035230239,126.20815266539687,31.825475724713037
uniform_with_perfect_outliers,MAF,2469.038714180127,2945.9403734466855,4527.345454848034,65.62524277980071
uniform_with_perfect_outliers,MIEF,98.22443683318714,88.88904746320588,163.04693284922467,42.57706952187543
uniform_with_perfect_outliers,Random,3330.7174694655782,3588.8045343764265,4559.619852538743,1351.5964566670507
bimodal_extreme,MGF,130.3816394638363,100.2414174199105,251.62752961833138,55.91002076479704
bimodal_extreme,MAF,2677.447516919786,3112.467361992034,4599.452827536467,147.74766747552877
bimodal_extreme,MIEF,164.27034870012693,136.02146454749186,294.31505349717094,69.0970168251701
bimodal_extreme,Random,3321.838642218207,3393.678191965633,4646.3720938977895,1661.9807656692433
bimodal_balanced,MGF,106.42590016050386,89.52902557442066,190.20976045839967,39.275413126593335
bimodal_balanced,MAF,2615.2956506109335,3084.1133950804656,4580.515293971321,95.79132988813623
bimodal_balanced,MIEF,134.68815433739078,109.55671640562927,261.62413810761876,44.42420000769904
bimodal_balanced,Random,3556.9996026302733,3788.109050031534,4824.827330264051,1770.0603221055796
bimodal_q1_vs_lossy_30_70,MGF,123.28427291961479,105.88119533057048,227.12716051676222,41.67556776662671
bimodal_q1_vs_lossy_30_70,MAF,2772.130760302163,3235.3955597366635,4683.420137740812,112.42245298887443
bimodal_q1_vs_lossy_30_70,MIEF,176.04777570956873,140.13906104404023,358.16735931385136,50.21853622993329
bimodal_q1_vs_lossy_30_70,Random,3867.0048842423253,4097.548504338915,5058.657542235068,2088.224921575833
bimodal_q1_vs_lossy_70_30,MGF,79.23268948950498,74.91133495433783,136.20978301886186,26.357905516525612
bimodal_q1_vs_lossy_70_30,MAF,2325.59821202033,2732.131036087433,4289.248672918444,52.69094039057988
bimodal_q1_vs_lossy_70_30,MIEF,90.56688449861406,83.51574598059511,153.35839777427998,31.12731532832409
bimodal_q1_vs_lossy_70_30,Random,3035.853837262375,3177.6548978567353,4406.818605423094,1226.5846115705167
trimodal_perfect_mid_low,MGF,107.4210009013525,95.28608398067504,174.55135943428243,38.49504201572638
trimodal_perfect_mid_low,MAF,2666.3446566850607,3147.0136504586535,4565.551906000257,93.41789682947889
trimodal_perfect_mid_low,MIEF,149.36899810901218,144.04025062283455,234.38394580719486,53.30034987717711
trimodal_perfect_mid_low,Random,3516.5441614829783,3740.116229502057,4683.755388849935,1911.2423118032118
source_split_perfect_or_lossy,MGF,90.70314815359305,86.38785502895497,147.80035648456072,34.78443071273556
source_split_perfect_or_lossy,MAF,2538.847637794407,3086.2581090685258,4524.046943982101,76.54879682198296
source_split_perfect_or_lossy,MIEF,113.83383670826731,104.7253610982201,197.2922880435328,39.49688761682497
source_split_perfect_or_lossy,Random,3529.1062442205125,3741.4784955964196,4746.898130281622,1696.152342496957
adversarial_perfect_with_critical_lossy,MGF,58.086499893916404,59.02451886167562,86.1382123950194,25.072702825193318
adversarial_perfect_with_critical_lossy,MAF,2274.084009189652,2623.913933943905,4141.911651649108,58.955374279766055
adversarial_perfect_with_critical_lossy,MIEF,54.65144201176379,52.45257824284549,85.29032518801577,24.804471125354702
adversarial_perfect_with_critical_lossy,Random,2376.0271149135715,2494.019933307606,3795.592401939569,554.4997313454878
