T,N,Random,MAF,MEF,MGF
2,1,0.28477163713172066,0.3359803919988098,0.30510200166632645,0.27088931996611476
2,2,0.2706556706526087,0.3356075225961541,0.28685626210635895,0.25655204944651344
2,3,0.2538312961426895,0.3327047206451308,0.2718869187672914,0.24406785154529342
2,4,0.2486811755814019,0.3286685368253538,0.2678563467752567,0.2406942364509014
2,5,0.2486811755814019,0.3286685368253538,0.2678563467752567,0.2406942364509014
2,6,0.2486811755814019,0.3286685368253538,0.2678563467752567,0.2406942364509014
5,1,0.3249418143297978,0.34085587948403717,0.30937158350312993,0.30935058544919297
5,2,0.30789674183089294,0.3402612871507854,0.2906132681794136,0.2903908635651773
5,3,0.2872047294730212,0.33650875043856193,0.27534607148223006,0.27528795212106927
5,4,0.280172751521433,0.3324724591471849,0.271192851106273,0.27113639547516466
5,5,0.280172751521433,0.3324724591471849,0.271192851106273,0.27113639547516466
5,6,0.280172751521433,0.3324724591471849,0.271192851106273,0.27113639547516466
10,1,0.32499432872692025,0.34086181402988874,0.3093764817306362,0.3093968317623845
10,2,0.30794136460916255,0.3402656292911786,0.2906174872262996,0.2904286848242605
10,3,0.2872432339394684,0.33651238270880623,0.2753497972249805,0.2753221248983774
10,4,0.2802065948682436,0.3324759771838771,0.27119622226589496,0.28611933209870133
10,5,0.2802065948682436,0.3324759771838771,0.27119622226589496,0.2711683773318815
10,6,0.2802065948682436,0.3324759771838771,0.27119622226589496,0.2711683773318815
20,1,0.32499432930739663,0.34086181408598126,0.30937648178520105,0.3093968323022863
20,2,0.30794136507684267,0.34026562933314763,0.29061748726809417,0.29042868525053334
20,3,0.2872432343308149,0.3365123827456899,0.27534979726112496,0.2753221252446273
20,4,0.2802065952234811,0.3324759772204838,0.2711962222981482,0.2861193323877231
20,5,0.2802065952234811,0.3324759772204838,0.2711962222981482,0.27116837764893015
20,6,0.2802065952234811,0.3324759772204838,0.2711962222981482,0.27116837764893015
30,1,0.32499432930739663,0.34086181408598126,0.30937648178520105,0.3093968323022863
30,2,0.30794136507684267,0.34026562933314763,0.29061748726809417,0.29042868525053334
30,3,0.2872432343308149,0.3365123827456899,0.27534979726112496,0.2753221252446273
30,4,0.2802065952234811,0.3324759772204838,0.2711962222981482,0.2861193323877231
30,5,0.2802065952234811,0.3324759772204838,0.2711962222981482,0.27116837764893015
30,6,0.2802065952234811,0.3324759772204838,0.2711962222981482,0.27116837764893015
50,1,0.32499432930739663,0.34086181408598126,0.30937648178520105,0.3093968323022863
50,2,0.30794136507684267,0.34026562933314763,0.29061748726809417,0.29042868525053334
50,3,0.2872432343308149,0.3365123827456899,0.27534979726112496,0.2753221252446273
50,4,0.2802065952234811,0.3324759772204838,0.2711962222981482,0.2861193323877231
50,5,0.2802065952234811,0.3324759772204838,0.2711962222981482,0.27116837764893015
50,6,0.2802065952234811,0.3324759772204838,0.2711962222981482,0.27116837764893015
75,1,0.32499432930739663,0.34086181408598126,0.30937648178520105,0.3093968323022863
75,2,0.30794136507684267,0.34026562933314763,0.29061748726809417,0.29042868525053334
75,3,0.2872432343308149,0.3365123827456899,0.27534979726112496,0.2753221252446273
75,4,0.2802065952234811,0.3324759772204838,0.2711962222981482,0.2861193323877231
75,5,0.2802065952234811,0.3324759772204838,0.2711962222981482,0.27116837764893015
75,6,0.2802065952234811,0.3324759772204838,0.2711962222981482,0.27116837764893015
100,1,0.32499432930739663,0.34086181408598126,0.30937648178520105,0.3093968323022863
100,2,0.30794136507684267,0.34026562933314763,0.29061748726809417,0.29042868525053334
100,3,0.2872432343308149,0.3365123827456899,0.27534979726112496,0.2753221252446273
100,4,0.2802065952234811,0.3324759772204838,0.2711962222981482,0.2861193323877231
100,5,0.2802065952234811,0.3324759772204838,0.2711962222981482,0.27116837764893015
100,6,0.2802065952234811,0.3324759772204838,0.2711962222981482,0.27116837764893015
150,1,0.32499432930739663,0.34086181408598126,0.30937648178520105,0.3093968323022863
150,2,0.30794136507684267,0.34026562933314763,0.29061748726809417,0.29042868525053334
150,3,0.2872432343308149,0.3365123827456899,0.27534979726112496,0.2753221252446273
150,4,0.2802065952234811,0.3324759772204838,0.2711962222981482,0.2861193323877231
150,5,0.2802065952234811,0.3324759772204838,0.2711962222981482,0.27116837764893015
150,6,0.2802065952234811,0.3324759772204838,0.2711962222981482,0.27116837764893015
200,1,0.32499432930739663,0.34086181408598126,0.30937648178520105,0.3093968323022863
200,2,0.30794136507684267,0.34026562933314763,0.29061748726809417,0.29042868525053334
200,3,0.2872432343308149,0.3365123827456899,0.27534979726112496,0.2753221252446273
200,4,0.2802065952234811,0.3324759772204838,0.2711962222981482,0.2861193323877231
200,5,0.2802065952234811,0.3324759772204838,0.2711962222981482,0.27116837764893015
200,6,0.2802065952234811,0.3324759772204838,0.2711962222981482,0.27116837764893015
300,1,0.32499432930739663,0.34086181408598126,0.30937648178520105,0.3093968323022863
300,2,0.30794136507684267,0.34026562933314763,0.29061748726809417,0.29042868525053334
300,3,0.2872432343308149,0.3365123827456899,0.27534979726112496,0.2753221252446273
300,4,0.2802065952234811,0.3324759772204838,0.2711962222981482,0.2861193323877231
300,5,0.2802065952234811,0.3324759772204838,0.2711962222981482,0.27116837764893015
300,6,0.2802065952234811,0.3324759772204838,0.2711962222981482,0.27116837764893015
500,1,0.32499432930739663,0.34086181408598126,0.30937648178520105,0.3093968323022863
500,2,0.30794136507684267,0.34026562933314763,0.29061748726809417,0.29042868525053334
500,3,0.2872432343308149,0.3365123827456899,0.27534979726112496,0.2753221252446273
500,4,0.2802065952234811,0.3324759772204838,0.2711962222981482,0.2861193323877231
500,5,0.2802065952234811,0.3324759772204838,0.2711962222981482,0.27116837764893015
500,6,0.2802065952234811,0.3324759772204838,0.2711962222981482,0.27116837764893015
