profile,M,policy,mean_error,std_error,seed,titer,mc_trials,q_min,q_max,q_mean,q_std
constant_high,2,MGF,52.438500557294,1.445294723457055,42,50,3,0.95,0.95,0.9499999999999998,1.1102230246251565e-16
constant_high,2,MAF,53.05384161085154,0.32248844157325585,42,50,3,0.95,0.95,0.9499999999999998,1.1102230246251565e-16
constant_high,2,MIEF,52.33203744843333,3.014229261826149,42,50,3,0.95,0.95,0.9499999999999998,1.1102230246251565e-16
constant_high,2,Random,360.8855808676949,282.2130807186869,42,50,3,0.95,0.95,0.9499999999999998,1.1102230246251565e-16
constant_high,4,MGF,54.70469675831489,0.3985961950244548,42,50,3,0.95,0.95,0.9500000000000001,1.1102230246251565e-16
constant_high,4,MAF,54.48949015621989,0.15476226561649664,42,50,3,0.95,0.95,0.9500000000000001,1.1102230246251565e-16
constant_high,4,MIEF,51.570136547726435,0.44009126865859144,42,50,3,0.95,0.95,0.9500000000000001,1.1102230246251565e-16
constant_high,4,Random,715.6449013890457,115.08258190453977,42,50,3,0.95,0.95,0.9500000000000001,1.1102230246251565e-16
constant_high,6,MGF,65.65957716723567,0.469917932278401,42,50,3,0.95,0.95,0.9500000000000003,3.3306690738754696e-16
constant_high,6,MAF,63.61718899744887,1.4302208857456569,42,50,3,0.95,0.95,0.9500000000000003,3.3306690738754696e-16
constant_high,6,MIEF,60.68688436398292,0.2866479907360699,42,50,3,0.95,0.95,0.9500000000000003,3.3306690738754696e-16
constant_high,6,Random,490.49209069128943,184.7796879175321,42,50,3,0.95,0.95,0.9500000000000003,3.3306690738754696e-16
constant_high,8,MGF,81.51513763239431,0.13403113187865637,42,50,3,0.95,0.95,0.9500000000000001,1.1102230246251565e-16
constant_high,8,MAF,85.82517924183985,1.687324414347868,42,50,3,0.95,0.95,0.9500000000000001,1.1102230246251565e-16
constant_high,8,MIEF,76.96259850694061,0.17285707819693774,42,50,3,0.95,0.95,0.9500000000000001,1.1102230246251565e-16
constant_high,8,Random,1134.6157494635856,309.1641747102885,42,50,3,0.95,0.95,0.9500000000000001,1.1102230246251565e-16
constant_high,10,MGF,102.52829498360559,0.3950862685481234,42,50,3,0.95,0.95,0.95,0.0
constant_high,10,MAF,122.92845588345058,4.5643358218825165,42,50,3,0.95,0.95,0.95,0.0
