channel,prand,pmaf,pmgf,pmief
2.000000000000000000e+00,5.619948205124211199e+03,4.732835326081899439e+03,1.396100265577062828e+03,4.973461191418326166e+02
4.000000000000000000e+00,4.645012903239062325e+03,4.839593978857922593e+03,4.749836564735832098e+02,1.312218482612011030e+02
6.000000000000000000e+00,3.820353337496862878e+03,2.887925049364520873e+03,1.293324076184182445e+02,8.529032518801578533e+01
8.000000000000000000e+00,3.193800692673305093e+03,1.126546388770572321e+03,9.952965093821231335e+01,6.479094604399233503e+01
1.000000000000000000e+01,2.584783086728893068e+03,5.252258732842336713e+02,6.720665131701289852e+01,5.268760408599188594e+01
1.200000000000000000e+01,2.154735556614016787e+03,2.168813850276633559e+02,4.806245632563145875e+01,4.655416617512953792e+01
1.400000000000000000e+01,1.774875725019826405e+03,1.249422490609389627e+02,4.082971850143739800e+01,4.172013198721555938e+01
1.600000000000000000e+01,1.477856396810335809e+03,8.592779875033764370e+01,3.510797407751778820e+01,3.691469094964422482e+01
1.800000000000000000e+01,1.187823311672213549e+03,6.674731638219800800e+01,3.111056568018900137e+01,3.260759542010484324e+01
2.000000000000000000e+01,9.673054743284086499e+02,5.556709036931809464e+01,2.870596560286277210e+01,2.907132505838809422e+01
