sources,prand,pmaf,pmgf,pmief
2.000000000000000000e+00,9.145250099818542822e+02,2.580542363805146522e+01,2.649023684270230206e+01,2.466854385189104093e+01
4.000000000000000000e+00,9.948779511734524021e+02,2.580542363805147232e+01,3.010779373384023216e+01,2.466854385189105159e+01
6.000000000000000000e+00,9.738935202198878187e+02,3.056430116046756140e+01,3.918748727884521088e+01,2.477540844911544227e+01
8.000000000000000000e+00,1.018457994045981422e+03,4.109076223149000384e+01,5.160899803482092807e+01,2.511933712278150921e+01
1.000000000000000000e+01,1.035039407106799217e+03,5.556709036931808754e+01,6.653588051589954944e+01,2.907132505838806580e+01
1.200000000000000000e+01,1.368722205458034978e+03,7.882549408343010100e+01,7.191195156875137684e+01,3.523656226419559090e+01
1.400000000000000000e+01,1.724378317205444546e+03,1.202008570651955495e+02,7.970517828557692042e+01,4.102500879562941805e+01
1.600000000000000000e+01,2.031772669027932807e+03,1.889420193175797635e+02,8.799737325359666329e+01,4.528614336315818889e+01
1.800000000000000000e+01,2.375397718406330569e+03,3.105394067637734565e+02,1.178782585129226987e+02,4.941903711949608180e+01
2.000000000000000000e+01,2.603047706205502891e+03,5.252258732842336713e+02,1.152720211866409414e+02,5.268760408599188594e+01
