profile,policy,mean_over_M,median_over_M,max_over_M,min_over_M
constant_high,MGF,111.26307917639897,115.73873741059137,170.1975457760001,52.438500557294
constant_high,MAF,355.9610990022432,151.7919891388679,1440.0165634468133,53.05384161085154
constant_high,MIEF,95.74694860713407,97.09553199586888,146.57816381659802,51.570136547726435
constant_high,Random,2583.8468497035765,2543.3309724052233,5602.522824930969,360.8855808676949
constant_low,MGF,163.14515178298643,138.07683386345184,341.9735717282627,79.08683249092934
constant_low,MAF,1905.7215339904621,764.7686822749637,6039.843260559927,91.69309066455956
constant_low,MIEF,153.25845148952294,144.60530608306524,295.90707637729133,77.82294115010232
constant_low,Random,4739.346241597688,4846.681723243204,7542.939924058697,1810.7821718713894
two_cluster_60_95,MGF,118.13079339267911,115.6726714074215,195.76353158614404,63.904507296484276
two_cluster_60_95,MAF,1045.8008428320995,353.88610899025775,4264.55107258885,69.41757445907903
two_cluster_60_95,MIEF,117.77072586191734,118.05157746763717,176.6134438933528,66.86160167231081
two_cluster_60_95,Random,3610.862698136105,3547.107362329724,6494.632029015028,1279.8464448514499
uniform_wide,MGF,130.50177619639697,121.45104390097191,235.0242009439927,70.46873460007943
uniform_wide,MAF,1794.0616511579242,757.8957361162616,6067.248410194113,87.13934287390043
uniform_wide,MIEF,151.52466517001147,150.56429195348025,265.54872747193974,77.47634508036562
uniform_wide,Random,4382.709878315437,4642.714964211373,7456.335270400111,1532.2816706847618
uniform_high,MGF,99.62955779488115,103.59306411369204,149.75960211497895,53.19584708507702
uniform_high,MAF,423.3114207322002,165.19101729168386,1780.0528759614315,54.7391934534744
uniform_high,MIEF,97.50871967472953,99.47347586991313,145.1263521233848,53.282070847775366
uniform_high,Random,2741.1748378035927,2677.4903597199154,5794.698645413188,510.9982118489874
uniform_low,MGF,173.53706708273472,139.29880782055093,397.30424820512786,89.89020441084517
uniform_low,MAF,2770.617635762247,1735.7612382108778,6595.660062758031,139.3971164540796
uniform_low,MIEF,203.4065595699608,169.4394027153466,383.0069231815882,95.31200207449399
uniform_low,Random,5360.311478659924,5545.12196237291,8298.517574267595,2437.6449568789494
source_gradient,MGF,120.64869166987287,120.19172866349439,177.52103721945832,65.0830310117555
source_gradient,MAF,1064.2163553314172,346.5161436929628,4158.3301767264,77.36310340967647
source_gradient,MIEF,118.3534351618417,115.48326726661702,198.0637306524953,67.55196705326227
source_gradient,Random,3908.951167051743,3926.1089815581145,6549.209567342536,1279.39632610295
task_gradient,MGF,111.30990221228357,112.77978023939019,172.36602121548253,64.24696085522226
task_gradient,MAF,913.1439431896633,368.5842216688004,3292.3954759122994,74.2503439765181
task_gradient,MIEF,118.726986287328,117.947034013718,197.0878317405937,66.33890978185202
task_gradient,Random,3732.1825383743867,3700.359812953119,6612.276379956046,1266.6546062425489
bimodal_extreme,MGF,180.8169210284883,151.2754680950656,329.5798770899135,90.07587325598818
bimodal_extreme,MAF,2006.8238359436036,919.8158456037488,6071.418078417567,239.24165673536632
bimodal_extreme,MIEF,220.561337414604,201.02302382536374,388.6286515851967,109.0241497766397
bimodal_extreme,Random,4156.537100337022,4186.886557648559,7409.342622357646,1535.165209784753
adversarial_by_penalty_type,MGF,104.22922379273363,108.47994347050681,140.63637524786145,61.28842536212346
adversarial_by_penalty_type,MAF,899.7456259368566,329.9680058326846,3505.149864448387,67.93101053443085
adversarial_by_penalty_type,MIEF,102.15705462314281,102.45314690154767,151.48424341156945,59.72947145526184
adversarial_by_penalty_type,Random,2795.7389125380523,2708.908319205276,5958.515747872833,647.8227861433057
