M,MGF,MAF,MIEF,Random,subgradient_method
2,24.869195266065226,25.805423638051465,24.66854385189104,967.4173158191812,episode1_mstep
4,25.973867815328934,25.805423638051472,24.66854385189105,918.9233790454861,episode1_mstep
6,25.74279759078923,30.56430116046756,24.775408449115442,957.0603631591406,episode1_mstep
8,25.886100416745162,41.090762231490004,25.11933712278151,965.3171395601113,episode1_mstep
10,28.090373685870837,55.56709036931809,29.071325058388066,977.9456740551743,episode1_mstep
12,35.26407897628986,78.8254940834301,35.23656226419559,1389.6517197303579,episode1_mstep
14,50.018436623639694,120.20085706519555,41.02500879562942,1749.9445751340295,episode1_mstep
16,59.993998315469426,188.94201931757976,45.28614336315819,2086.119285569138,episode1_mstep
18,69.7769779988152,310.53940676377346,49.41903711949608,2294.557024372345,episode1_mstep
20,75.3404762114663,525.2258732842337,52.687604085991886,2613.27035492284,episode1_mstep
