channel,prand,pmaf,pmgf,pmief
2.000000000000000000e+00,1.943459040953210604e+01,1.937493150445350665e+01,1.972111081988976267e+01,1.747380988741787178e+01
4.000000000000000000e+00,1.916602668506845575e+01,1.904729941435619978e+01,1.744539361998330307e+01,1.740961498114064199e+01
6.000000000000000000e+00,1.895429014906948595e+01,1.877922722784064646e+01,1.740915921936636224e+01,1.736024209855903422e+01
8.000000000000000000e+00,1.876454584840165651e+01,1.855564413257384260e+01,1.738861594311437386e+01,1.733073609740862864e+01
1.000000000000000000e+01,1.860557846860815800e+01,1.840627499169977099e+01,1.736881031802217024e+01,1.731319386456270237e+01
1.200000000000000000e+01,1.847165177349033627e+01,1.824102329980239290e+01,1.738725628643348387e+01,1.729894340359703975e+01
1.400000000000000000e+01,1.835419825640535407e+01,1.818624761887089747e+01,1.736245293507479914e+01,1.729013478974102469e+01
1.600000000000000000e+01,1.820317681734526971e+01,1.797451575066530793e+01,1.722342680510901047e+01,1.728132617588500253e+01
1.800000000000000000e+01,1.803057079357878933e+01,1.786279954544501081e+01,1.720902438706736959e+01,1.727251756202898747e+01
2.000000000000000000e+01,1.799476147452986652e+01,1.784576091138210074e+01,1.717781443459952939e+01,1.726370894817297241e+01
