tasks,prand,pmaf,pmgf,pmief
3.000000000000000000e+00,3.998318438432522157e+02,3.286881620745915455e+01,1.826988891194741171e+01,1.965443572650810466e+01
6.000000000000000000e+00,1.578646404411966614e+03,9.921810361019664981e+01,3.559592107630026447e+01,3.923347312372319351e+01
9.000000000000000000e+00,2.629838006558370125e+03,5.252258732842336713e+02,6.720665131701289852e+01,5.268760408599188594e+01
1.200000000000000000e+01,3.351668259870671136e+03,2.424906130151474372e+03,8.229667713905807602e+01,6.949748865853797497e+01
1.500000000000000000e+01,3.816127624593217661e+03,3.292650505762562261e+03,1.260832661077877361e+02,8.529032518801584217e+01
