sources,prand,pmaf,pmgf,pmief
2.000000000000000000e+00,9.674173158191812263e+02,2.580542363805146522e+01,2.609995290277983671e+01,2.466854385189104093e+01
4.000000000000000000e+00,9.189233790454860582e+02,2.580542363805147232e+01,2.695026812721915377e+01,2.466854385189105159e+01
6.000000000000000000e+00,9.570603631591405929e+02,3.056430116046756140e+01,2.662906133180959500e+01,2.477540844911544227e+01
8.000000000000000000e+00,9.653171395601112863e+02,4.109076223149000384e+01,2.673809083966713018e+01,2.511933712278150921e+01
1.000000000000000000e+01,9.779456740551743223e+02,5.556709036931808754e+01,2.860165146702032501e+01,2.907132505838806580e+01
1.200000000000000000e+01,1.389651719730357854e+03,7.882549408343010100e+01,3.306757842155229099e+01,3.523656226419559090e+01
1.400000000000000000e+01,1.749944575134029492e+03,1.202008570651955495e+02,3.936563657599797494e+01,4.102500879562941805e+01
1.600000000000000000e+01,2.086119285569137901e+03,1.889420193175797635e+02,4.512161680904494432e+01,4.528614336315818889e+01
1.800000000000000000e+01,2.294557024372345040e+03,3.105394067637734565e+02,5.898455825129558150e+01,4.941903711949608180e+01
2.000000000000000000e+01,2.613270354922839942e+03,5.252258732842336713e+02,6.720665131701289852e+01,5.268760408599188594e+01
