
The following have been reloaded with a version change:
  1) cuda/11.2.0 => cuda/12.1.1

Training LSTM for offset 0
Epoch [90/100], Train Loss: 0.0231, Test Loss: 0.0226
Epoch [100/100], Train Loss: 0.0231, Test Loss: 0.0226
Training LSTM for offset 7
Epoch [10/100], Train Loss: 0.0233, Test Loss: 0.0231
Epoch [20/100], Train Loss: 0.0232, Test Loss: 0.0231
Epoch [30/100], Train Loss: 0.0232, Test Loss: 0.0231
Epoch [40/100], Train Loss: 0.0232, Test Loss: 0.0231
Epoch [50/100], Train Loss: 0.0232, Test Loss: 0.0231
Epoch [60/100], Train Loss: 0.0232, Test Loss: 0.0231
Epoch [70/100], Train Loss: 0.0232, Test Loss: 0.0231
Epoch [80/100], Train Loss: 0.0232, Test Loss: 0.0231
Epoch [90/100], Train Loss: 0.0232, Test Loss: 0.0231
Epoch [100/100], Train Loss: 0.0232, Test Loss: 0.0231
Training LSTM for offset 8
Epoch [10/100], Train Loss: 0.0233, Test Loss: 0.0234
Epoch [20/100], Train Loss: 0.0233, Test Loss: 0.0234
Epoch [30/100], Train Loss: 0.0233, Test Loss: 0.0234
Epoch [40/100], Train Loss: 0.0233, Test Loss: 0.0234
Epoch [50/100], Train Loss: 0.0233, Test Loss: 0.0234
Epoch [60/100], Train Loss: 0.0233, Test Loss: 0.0234
Epoch [70/100], Train Loss: 0.0233, Test Loss: 0.0234
Epoch [80/100], Train Loss: 0.0233, Test Loss: 0.0234
Epoch [90/100], Train Loss: 0.0233, Test Loss: 0.0234
Epoch [100/100], Train Loss: 0.0233, Test Loss: 0.0234
Training LSTM for offset 9
Epoch [10/100], Train Loss: 0.0234, Test Loss: 0.0236
Epoch [20/100], Train Loss: 0.0233, Test Loss: 0.0235
Epoch [30/100], Train Loss: 0.0233, Test Loss: 0.0235
Epoch [40/100], Train Loss: 0.0233, Test Loss: 0.0235
Epoch [50/100], Train Loss: 0.0233, Test Loss: 0.0235
Epoch [60/100], Train Loss: 0.0233, Test Loss: 0.0235
Epoch [70/100], Train Loss: 0.0233, Test Loss: 0.0235
Epoch [80/100], Train Loss: 0.0233, Test Loss: 0.0235
Epoch [90/100], Train Loss: 0.0233, Test Loss: 0.0235
Epoch [100/100], Train Loss: 0.0233, Test Loss: 0.0235
Training LSTM for offset 10
Epoch [10/100], Train Loss: 0.0234, Test Loss: 0.0236
Epoch [20/100], Train Loss: 0.0234, Test Loss: 0.0236
Epoch [30/100], Train Loss: 0.0234, Test Loss: 0.0236
Epoch [40/100], Train Loss: 0.0234, Test Loss: 0.0236
Epoch [50/100], Train Loss: 0.0234, Test Loss: 0.0236
Epoch [60/100], Train Loss: 0.0234, Test Loss: 0.0236
Epoch [70/100], Train Loss: 0.0234, Test Loss: 0.0236
Epoch [80/100], Train Loss: 0.0234, Test Loss: 0.0236
Epoch [90/100], Train Loss: 0.0233, Test Loss: 0.0236
Epoch [100/100], Train Loss: 0.0233, Test Loss: 0.0236
Training LSTM for offset 11
Epoch [10/100], Train Loss: 0.0235, Test Loss: 0.0237
Epoch [20/100], Train Loss: 0.0234, Test Loss: 0.0236
Epoch [30/100], Train Loss: 0.0234, Test Loss: 0.0236
Epoch [40/100], Train Loss: 0.0234, Test Loss: 0.0236
Epoch [50/100], Train Loss: 0.0234, Test Loss: 0.0236
Epoch [60/100], Train Loss: 0.0234, Test Loss: 0.0236
Epoch [70/100], Train Loss: 0.0234, Test Loss: 0.0236
Epoch [80/100], Train Loss: 0.0234, Test Loss: 0.0236
Epoch [90/100], Train Loss: 0.0234, Test Loss: 0.0236
Epoch [100/100], Train Loss: 0.0234, Test Loss: 0.0236
Training LSTM for offset 12
Epoch [10/100], Train Loss: 0.0236, Test Loss: 0.0237
Epoch [20/100], Train Loss: 0.0235, Test Loss: 0.0237
Epoch [30/100], Train Loss: 0.0235, Test Loss: 0.0237
Epoch [40/100], Train Loss: 0.0235, Test Loss: 0.0237
Epoch [50/100], Train Loss: 0.0235, Test Loss: 0.0237
Epoch [60/100], Train Loss: 0.0235, Test Loss: 0.0237
Epoch [70/100], Train Loss: 0.0235, Test Loss: 0.0237
Epoch [80/100], Train Loss: 0.0235, Test Loss: 0.0237
Epoch [90/100], Train Loss: 0.0235, Test Loss: 0.0237
Epoch [100/100], Train Loss: 0.0235, Test Loss: 0.0237
Training LSTM for offset 13
Epoch [10/100], Train Loss: 0.0237, Test Loss: 0.0237
Epoch [20/100], Train Loss: 0.0237, Test Loss: 0.0237
Epoch [30/100], Train Loss: 0.0237, Test Loss: 0.0237
Epoch [40/100], Train Loss: 0.0237, Test Loss: 0.0237
Epoch [50/100], Train Loss: 0.0236, Test Loss: 0.0237
Epoch [60/100], Train Loss: 0.0236, Test Loss: 0.0237
Epoch [70/100], Train Loss: 0.0236, Test Loss: 0.0237
Epoch [80/100], Train Loss: 0.0236, Test Loss: 0.0237
Epoch [90/100], Train Loss: 0.0236, Test Loss: 0.0237
Epoch [100/100], Train Loss: 0.0236, Test Loss: 0.0237
Training LSTM for offset 14
Epoch [10/100], Train Loss: 0.0239, Test Loss: 0.0238
Epoch [20/100], Train Loss: 0.0238, Test Loss: 0.0238
Epoch [30/100], Train Loss: 0.0238, Test Loss: 0.0238
Epoch [40/100], Train Loss: 0.0238, Test Loss: 0.0237
Epoch [50/100], Train Loss: 0.0238, Test Loss: 0.0237
Epoch [60/100], Train Loss: 0.0238, Test Loss: 0.0237
Epoch [70/100], Train Loss: 0.0238, Test Loss: 0.0237
Epoch [80/100], Train Loss: 0.0238, Test Loss: 0.0237
Epoch [90/100], Train Loss: 0.0238, Test Loss: 0.0236
Epoch [100/100], Train Loss: 0.0238, Test Loss: 0.0236
Training LSTM for offset 15
Epoch [10/100], Train Loss: 0.0239, Test Loss: 0.0243
Epoch [20/100], Train Loss: 0.0238, Test Loss: 0.0243
Epoch [30/100], Train Loss: 0.0238, Test Loss: 0.0243
Epoch [40/100], Train Loss: 0.0238, Test Loss: 0.0243
Epoch [50/100], Train Loss: 0.0238, Test Loss: 0.0243
Epoch [60/100], Train Loss: 0.0238, Test Loss: 0.0243
Epoch [70/100], Train Loss: 0.0238, Test Loss: 0.0243
Epoch [80/100], Train Loss: 0.0238, Test Loss: 0.0243
Epoch [90/100], Train Loss: 0.0238, Test Loss: 0.0243
Epoch [100/100], Train Loss: 0.0238, Test Loss: 0.0243
Training LSTM for offset 16
Epoch [10/100], Train Loss: 0.0239, Test Loss: 0.0247
Epoch [20/100], Train Loss: 0.0238, Test Loss: 0.0248
Epoch [30/100], Train Loss: 0.0238, Test Loss: 0.0248
Epoch [40/100], Train Loss: 0.0238, Test Loss: 0.0248
Epoch [50/100], Train Loss: 0.0238, Test Loss: 0.0248
Epoch [60/100], Train Loss: 0.0238, Test Loss: 0.0248
Epoch [70/100], Train Loss: 0.0238, Test Loss: 0.0248
Epoch [80/100], Train Loss: 0.0238, Test Loss: 0.0248
Epoch [90/100], Train Loss: 0.0238, Test Loss: 0.0248
Epoch [100/100], Train Loss: 0.0238, Test Loss: 0.0248
Training LSTM for offset 17
Epoch [10/100], Train Loss: 0.0240, Test Loss: 0.0247
Epoch [20/100], Train Loss: 0.0240, Test Loss: 0.0245
Epoch [30/100], Train Loss: 0.0240, Test Loss: 0.0244
Epoch [40/100], Train Loss: 0.0240, Test Loss: 0.0244
Epoch [50/100], Train Loss: 0.0240, Test Loss: 0.0244
Epoch [60/100], Train Loss: 0.0240, Test Loss: 0.0244
Epoch [70/100], Train Loss: 0.0240, Test Loss: 0.0243
Epoch [80/100], Train Loss: 0.0240, Test Loss: 0.0243
Epoch [90/100], Train Loss: 0.0240, Test Loss: 0.0243
Epoch [100/100], Train Loss: 0.0239, Test Loss: 0.0243
Training LSTM for offset 18
Epoch [10/100], Train Loss: 0.0241, Test Loss: 0.0246
Epoch [20/100], Train Loss: 0.0241, Test Loss: 0.0246
Epoch [30/100], Train Loss: 0.0241, Test Loss: 0.0246
Epoch [40/100], Train Loss: 0.0241, Test Loss: 0.0246
Epoch [50/100], Train Loss: 0.0241, Test Loss: 0.0246
Epoch [60/100], Train Loss: 0.0241, Test Loss: 0.0246
Epoch [70/100], Train Loss: 0.0241, Test Loss: 0.0246
Epoch [80/100], Train Loss: 0.0240, Test Loss: 0.0246
Epoch [90/100], Train Loss: 0.0240, Test Loss: 0.0246
Epoch [100/100], Train Loss: 0.0240, Test Loss: 0.0246
Training LSTM for offset 19
Epoch [10/100], Train Loss: 0.0243, Test Loss: 0.0243
Epoch [20/100], Train Loss: 0.0242, Test Loss: 0.0244
Epoch [30/100], Train Loss: 0.0242, Test Loss: 0.0244
Epoch [40/100], Train Loss: 0.0242, Test Loss: 0.0244
Epoch [50/100], Train Loss: 0.0242, Test Loss: 0.0244
Epoch [60/100], Train Loss: 0.0242, Test Loss: 0.0243
Epoch [70/100], Train Loss: 0.0242, Test Loss: 0.0243
Epoch [80/100], Train Loss: 0.0242, Test Loss: 0.0243
Epoch [90/100], Train Loss: 0.0242, Test Loss: 0.0243
Epoch [100/100], Train Loss: 0.0242, Test Loss: 0.0243
Training LSTM for offset 24
Epoch [10/100], Train Loss: 0.0247, Test Loss: 0.0247
Epoch [20/100], Train Loss: 0.0247, Test Loss: 0.0246
Epoch [30/100], Train Loss: 0.0247, Test Loss: 0.0246
Epoch [40/100], Train Loss: 0.0247, Test Loss: 0.0246
Epoch [50/100], Train Loss: 0.0247, Test Loss: 0.0246
Epoch [60/100], Train Loss: 0.0246, Test Loss: 0.0246
Epoch [70/100], Train Loss: 0.0246, Test Loss: 0.0246
Epoch [80/100], Train Loss: 0.0246, Test Loss: 0.0246
Epoch [90/100], Train Loss: 0.0246, Test Loss: 0.0246
Epoch [100/100], Train Loss: 0.0246, Test Loss: 0.0245
Training LSTM for offset 29
Epoch [10/100], Train Loss: 0.0247, Test Loss: 0.0249
Epoch [20/100], Train Loss: 0.0247, Test Loss: 0.0249
Epoch [30/100], Train Loss: 0.0247, Test Loss: 0.0249
Epoch [40/100], Train Loss: 0.0247, Test Loss: 0.0249
Epoch [50/100], Train Loss: 0.0247, Test Loss: 0.0249
Epoch [60/100], Train Loss: 0.0247, Test Loss: 0.0249
Epoch [70/100], Train Loss: 0.0246, Test Loss: 0.0249
Epoch [80/100], Train Loss: 0.0246, Test Loss: 0.0248
Epoch [90/100], Train Loss: 0.0246, Test Loss: 0.0248
Epoch [100/100], Train Loss: 0.0246, Test Loss: 0.0248
Training LSTM for offset 34
Epoch [10/100], Train Loss: 0.0252, Test Loss: 0.0245
Epoch [20/100], Train Loss: 0.0251, Test Loss: 0.0245
Epoch [30/100], Train Loss: 0.0251, Test Loss: 0.0245
Epoch [40/100], Train Loss: 0.0251, Test Loss: 0.0245
Epoch [50/100], Train Loss: 0.0251, Test Loss: 0.0245
Epoch [60/100], Train Loss: 0.0251, Test Loss: 0.0245
Epoch [70/100], Train Loss: 0.0251, Test Loss: 0.0245
Epoch [80/100], Train Loss: 0.0251, Test Loss: 0.0244
Epoch [90/100], Train Loss: 0.0251, Test Loss: 0.0244
Epoch [100/100], Train Loss: 0.0251, Test Loss: 0.0245
Training LSTM for offset 39
Epoch [10/100], Train Loss: 0.0253, Test Loss: 0.0248
Epoch [20/100], Train Loss: 0.0253, Test Loss: 0.0247
Epoch [30/100], Train Loss: 0.0253, Test Loss: 0.0247
Epoch [40/100], Train Loss: 0.0253, Test Loss: 0.0247
Epoch [50/100], Train Loss: 0.0253, Test Loss: 0.0247
Epoch [60/100], Train Loss: 0.0253, Test Loss: 0.0247
Epoch [70/100], Train Loss: 0.0253, Test Loss: 0.0247
Epoch [80/100], Train Loss: 0.0253, Test Loss: 0.0247
Epoch [90/100], Train Loss: 0.0252, Test Loss: 0.0247
Epoch [100/100], Train Loss: 0.0252, Test Loss: 0.0247
Training LSTM for offset 44
Epoch [10/100], Train Loss: 0.0255, Test Loss: 0.0246
Epoch [20/100], Train Loss: 0.0254, Test Loss: 0.0246
Epoch [30/100], Train Loss: 0.0254, Test Loss: 0.0246
Epoch [40/100], Train Loss: 0.0254, Test Loss: 0.0246
Epoch [50/100], Train Loss: 0.0254, Test Loss: 0.0246
Epoch [60/100], Train Loss: 0.0254, Test Loss: 0.0246
Epoch [70/100], Train Loss: 0.0254, Test Loss: 0.0246
Epoch [80/100], Train Loss: 0.0254, Test Loss: 0.0246
Epoch [90/100], Train Loss: 0.0254, Test Loss: 0.0246
Epoch [100/100], Train Loss: 0.0254, Test Loss: 0.0246
Training LSTM for offset 49
Epoch [10/100], Train Loss: 0.0256, Test Loss: 0.0246
Epoch [20/100], Train Loss: 0.0256, Test Loss: 0.0246
Epoch [30/100], Train Loss: 0.0256, Test Loss: 0.0246
Epoch [40/100], Train Loss: 0.0256, Test Loss: 0.0246
Epoch [50/100], Train Loss: 0.0255, Test Loss: 0.0246
Epoch [60/100], Train Loss: 0.0255, Test Loss: 0.0246
Epoch [70/100], Train Loss: 0.0255, Test Loss: 0.0246
Epoch [80/100], Train Loss: 0.0255, Test Loss: 0.0245
Epoch [90/100], Train Loss: 0.0255, Test Loss: 0.0245
Epoch [100/100], Train Loss: 0.0255, Test Loss: 0.0245
Training LSTM for offset 54
Epoch [10/100], Train Loss: 0.0255, Test Loss: 0.0254
Epoch [20/100], Train Loss: 0.0255, Test Loss: 0.0254
Epoch [30/100], Train Loss: 0.0255, Test Loss: 0.0254
Epoch [40/100], Train Loss: 0.0255, Test Loss: 0.0254
Epoch [50/100], Train Loss: 0.0255, Test Loss: 0.0254
Epoch [60/100], Train Loss: 0.0255, Test Loss: 0.0254
Epoch [70/100], Train Loss: 0.0254, Test Loss: 0.0254
Epoch [80/100], Train Loss: 0.0254, Test Loss: 0.0254
Epoch [90/100], Train Loss: 0.0254, Test Loss: 0.0254
Epoch [100/100], Train Loss: 0.0254, Test Loss: 0.0254
Training LSTM for offset 59
Epoch [10/100], Train Loss: 0.0256, Test Loss: 0.0255
Epoch [20/100], Train Loss: 0.0256, Test Loss: 0.0254
Epoch [30/100], Train Loss: 0.0256, Test Loss: 0.0253
Epoch [40/100], Train Loss: 0.0255, Test Loss: 0.0253
Epoch [50/100], Train Loss: 0.0255, Test Loss: 0.0253
Epoch [60/100], Train Loss: 0.0255, Test Loss: 0.0253
Epoch [70/100], Train Loss: 0.0255, Test Loss: 0.0253
Epoch [80/100], Train Loss: 0.0255, Test Loss: 0.0253
Epoch [90/100], Train Loss: 0.0255, Test Loss: 0.0253
Epoch [100/100], Train Loss: 0.0255, Test Loss: 0.0253
Training LSTM for offset 64
Epoch [10/100], Train Loss: 0.0257, Test Loss: 0.0257
Epoch [20/100], Train Loss: 0.0257, Test Loss: 0.0257
Epoch [30/100], Train Loss: 0.0257, Test Loss: 0.0257
Epoch [40/100], Train Loss: 0.0257, Test Loss: 0.0257
Epoch [50/100], Train Loss: 0.0257, Test Loss: 0.0257
Epoch [60/100], Train Loss: 0.0256, Test Loss: 0.0257
Epoch [70/100], Train Loss: 0.0256, Test Loss: 0.0257
Epoch [80/100], Train Loss: 0.0256, Test Loss: 0.0257
Epoch [90/100], Train Loss: 0.0256, Test Loss: 0.0257
Epoch [100/100], Train Loss: 0.0256, Test Loss: 0.0257
Training LSTM for offset 69
Epoch [10/100], Train Loss: 0.0258, Test Loss: 0.0256
Epoch [20/100], Train Loss: 0.0258, Test Loss: 0.0256
Epoch [30/100], Train Loss: 0.0258, Test Loss: 0.0256
Epoch [40/100], Train Loss: 0.0258, Test Loss: 0.0256
Epoch [50/100], Train Loss: 0.0258, Test Loss: 0.0256
Epoch [60/100], Train Loss: 0.0258, Test Loss: 0.0256
Epoch [70/100], Train Loss: 0.0258, Test Loss: 0.0256
Epoch [80/100], Train Loss: 0.0258, Test Loss: 0.0256
Epoch [90/100], Train Loss: 0.0257, Test Loss: 0.0256
Epoch [100/100], Train Loss: 0.0257, Test Loss: 0.0256
Training LSTM for offset 74
Epoch [10/100], Train Loss: 0.0260, Test Loss: 0.0252
Epoch [20/100], Train Loss: 0.0259, Test Loss: 0.0252
Epoch [30/100], Train Loss: 0.0259, Test Loss: 0.0251
Epoch [40/100], Train Loss: 0.0259, Test Loss: 0.0251
Epoch [50/100], Train Loss: 0.0259, Test Loss: 0.0251
Epoch [60/100], Train Loss: 0.0259, Test Loss: 0.0251
Epoch [70/100], Train Loss: 0.0259, Test Loss: 0.0251
Epoch [80/100], Train Loss: 0.0259, Test Loss: 0.0251
Epoch [90/100], Train Loss: 0.0259, Test Loss: 0.0251
Epoch [100/100], Train Loss: 0.0259, Test Loss: 0.0251
Training LSTM for offset 79
Epoch [10/100], Train Loss: 0.0259, Test Loss: 0.0261
Epoch [20/100], Train Loss: 0.0258, Test Loss: 0.0261
Epoch [30/100], Train Loss: 0.0258, Test Loss: 0.0261
Epoch [40/100], Train Loss: 0.0258, Test Loss: 0.0261
Epoch [50/100], Train Loss: 0.0258, Test Loss: 0.0261
Epoch [60/100], Train Loss: 0.0258, Test Loss: 0.0261
Epoch [70/100], Train Loss: 0.0258, Test Loss: 0.0261
Epoch [80/100], Train Loss: 0.0258, Test Loss: 0.0261
Epoch [90/100], Train Loss: 0.0258, Test Loss: 0.0260
Epoch [100/100], Train Loss: 0.0258, Test Loss: 0.0260
Training LSTM for offset 84
Epoch [10/100], Train Loss: 0.0260, Test Loss: 0.0257
Epoch [20/100], Train Loss: 0.0259, Test Loss: 0.0256
Epoch [30/100], Train Loss: 0.0259, Test Loss: 0.0256
Epoch [40/100], Train Loss: 0.0259, Test Loss: 0.0256
Epoch [50/100], Train Loss: 0.0259, Test Loss: 0.0256
Epoch [60/100], Train Loss: 0.0259, Test Loss: 0.0255
Epoch [70/100], Train Loss: 0.0259, Test Loss: 0.0255
Epoch [80/100], Train Loss: 0.0259, Test Loss: 0.0255
Epoch [90/100], Train Loss: 0.0259, Test Loss: 0.0255
Epoch [100/100], Train Loss: 0.0259, Test Loss: 0.0255
Training LSTM for offset 89
Epoch [10/100], Train Loss: 0.0261, Test Loss: 0.0252
Epoch [20/100], Train Loss: 0.0261, Test Loss: 0.0252
Epoch [30/100], Train Loss: 0.0261, Test Loss: 0.0252
Epoch [40/100], Train Loss: 0.0261, Test Loss: 0.0252
Epoch [50/100], Train Loss: 0.0261, Test Loss: 0.0252
Epoch [60/100], Train Loss: 0.0261, Test Loss: 0.0252
Epoch [70/100], Train Loss: 0.0261, Test Loss: 0.0252
Epoch [80/100], Train Loss: 0.0261, Test Loss: 0.0252
Epoch [90/100], Train Loss: 0.0261, Test Loss: 0.0252
Epoch [100/100], Train Loss: 0.0261, Test Loss: 0.0252
Training LSTM for offset 94
Epoch [10/100], Train Loss: 0.0259, Test Loss: 0.0263
Epoch [20/100], Train Loss: 0.0258, Test Loss: 0.0262
Epoch [30/100], Train Loss: 0.0258, Test Loss: 0.0262
Epoch [40/100], Train Loss: 0.0258, Test Loss: 0.0262
Epoch [50/100], Train Loss: 0.0258, Test Loss: 0.0261
Epoch [60/100], Train Loss: 0.0258, Test Loss: 0.0261
Epoch [70/100], Train Loss: 0.0258, Test Loss: 0.0261
Epoch [80/100], Train Loss: 0.0258, Test Loss: 0.0261
Epoch [90/100], Train Loss: 0.0258, Test Loss: 0.0261
Epoch [100/100], Train Loss: 0.0258, Test Loss: 0.0261
Training LSTM for offset 99
Epoch [10/100], Train Loss: 0.0262, Test Loss: 0.0257
Epoch [20/100], Train Loss: 0.0261, Test Loss: 0.0257
Epoch [30/100], Train Loss: 0.0261, Test Loss: 0.0257
Epoch [40/100], Train Loss: 0.0261, Test Loss: 0.0257
Epoch [50/100], Train Loss: 0.0261, Test Loss: 0.0256
Epoch [60/100], Train Loss: 0.0261, Test Loss: 0.0256
Epoch [70/100], Train Loss: 0.0261, Test Loss: 0.0256
Epoch [80/100], Train Loss: 0.0261, Test Loss: 0.0256
Epoch [90/100], Train Loss: 0.0261, Test Loss: 0.0256
Epoch [100/100], Train Loss: 0.0261, Test Loss: 0.0256
