k,p(k)
0,0.6593113418693772
1,0.6781299984800304
2,0.6802590939779475
3,0.6826982757731586
4,0.6845624195684226
5,0.6859358633224197
6,0.6872134774955648
7,0.6880900298013466
8,0.6888614226850092
9,0.6891230435221165
10,0.6895267094979435
11,0.689896370755661
12,0.6903066929666893
13,0.6903874253493075
14,0.6903644548297447
15,0.6904069330233499
16,0.6905292358557419
17,0.6903063607765393
18,0.6904117878107747
19,0.6905020317725463
20,0.6907633965401093
21,0.690665840728975
22,0.6910936226212775
23,0.691190301880952
24,0.6913439836813399
25,0.6917541569590274
26,0.6919164430779376
27,0.6921553501753501
28,0.6923102913686153
29,0.6924503908357599
30,0.692445820241616
31,0.6926769725639587
32,0.6926718645106338
33,0.6928246267439176
34,0.6929801711830392
35,0.6933956971841678
36,0.6932406736397007
37,0.6934022928653963
38,0.6934608149707624
39,0.6933860662742325
40,0.6937108900757526
41,0.6937782120382083
42,0.6937790025691524
43,0.6939077183962192
44,0.6943963614710865
45,0.6940961983801973
46,0.6944005466352347
47,0.6943042077151882
48,0.6945070683346528
49,0.6945478120183871
50,0.6949076960730763
51,0.6949196834316732
52,0.6950724380602061
53,0.6951457113004184
54,0.695159300083739
55,0.6953716569923208
56,0.6952606367002301
57,0.6959870535176845
58,0.6955233723649286
59,0.6957201400295279
60,0.6958093824646674
61,0.6962446401086888
62,0.6960812413818689
63,0.6961340479069513
64,0.6963233394887786
65,0.6964568016142186
66,0.6962719397314329
67,0.6965786242210663
68,0.6967731691645455
69,0.6968377712088757
70,0.696888483813465
71,0.6968182116130277
72,0.6972395549641601
73,0.6973275498700817
74,0.6972910793668909
75,0.6971031835635274
76,0.6975675735641623
77,0.6974644260318182
78,0.6977253890697253
79,0.6978214375265852
80,0.6978930839298928
81,0.6978841677241379
82,0.6976869421414775
83,0.6982041158669908
84,0.6979871666844024
85,0.6981748803121992
86,0.6980859438795648
87,0.698233603753863
88,0.6985606737075863
89,0.6984413427976113
90,0.698520541169259
91,0.6986132829944164
92,0.6989625817640348
93,0.69872478680823
94,0.6987813479757006
95,0.6992568864988735
96,0.6991243850437977
97,0.6991738658836112
98,0.6994409099017828
99,0.6994990011200107
100,0.6998555991914164
