Frame,k=0,k=1,k=2,k=3,k=4,k=5,k=6,k=7,k=8,k=9,k=10,k=11,k=12,k=13,k=14,k=15,k=16,k=17,k=18,k=19,k=20
0,0.6609165207238763,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0.6635584976392152,0.6319346951652338,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,0.6648910369677441,0.650284377188338,0.6080182942496446,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,0.7127684451116023,0.7131823172841177,0.6981254184333854,0.6629992699968714,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,0.6321925676179678,0.7233547488310399,0.7233907323922844,0.7082276027993302,0.6700980968045113,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,0.6190644903474585,0.6133195621411494,0.6972084205020921,0.6994232349280467,0.6853000907054961,0.6469164394908045,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,0.5735651610214618,0.6686689254963514,0.6467782950883998,0.7278817436013761,0.7233913747568995,0.7084783047879862,0.6720957437235671,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,0.8154525674144942,0.5833578686867883,0.6626402478928322,0.6496693147575627,0.7259411254044669,0.7280041485299433,0.7053550513016726,0.6684287903906909,1,1,1,1,1,1,1,1,1,1,1,1,1
8,0.7230226498296252,0.8229634792082222,0.5937235741802123,0.6624371034784511,0.6462661731774073,0.7205412575447189,0.7167204415031834,0.6989513941250087,0.6620889387144993,1,1,1,1,1,1,1,1,1,1,1,1
9,0.6904009616210183,0.7272566431327616,0.8253458874532185,0.5778530060901744,0.6566332586047738,0.6427028619115409,0.7210918073145143,0.7151487065755284,0.6969349662715305,0.6567953116535614,1,1,1,1,1,1,1,1,1,1,1
10,0.7375810129082063,0.7640970885213926,0.7254687322118205,0.8292918728412098,0.5606549695423544,0.6452170770739766,0.6273334988145269,0.7045628102329133,0.6913046138248686,0.672865632449988,0.632880857686322,1,1,1,1,1,1,1,1,1,1
11,0.7148083515665831,0.762197131311029,0.7780627924701486,0.7417760354525311,0.8393964607690922,0.5690176601381802,0.6588356924318327,0.6331782580531182,0.7111245444947724,0.6994021106009731,0.6749729881488162,0.6348834435280486,1,1,1,1,1,1,1,1,1
12,0.6447611199684717,0.7300805213021901,0.7575985023753599,0.7775006858026385,0.7360036808431214,0.8417351852173762,0.5697933994707854,0.6524718341788069,0.6332222970037229,0.7105681229494043,0.7013047813082491,0.6824898854830967,0.6386739760923259,1,1,1,1,1,1,1,1
