k,average_loss,variance
1,0.24070489303875497,0.0
2,0.25634402323394684,0.00011957572091766304
3,0.26888740236013875,0.00027133551721095363
4,0.2786318286253592,0.0004408381903628786
5,0.285779326199018,0.0005999375155992749
6,0.2907795036567906,0.0007301912616441492
7,0.29406262478193196,0.0004758247951299221
8,0.2961450537747697,0.0002852507250030944
9,0.2972861425127892,0.00015248491280561239
10,0.2976922267513055,7.473159767268883e-05
11,0.2975597024307911,3.346736039140576e-05
12,0.29704187559370593,1.3674356303667882e-05
13,0.2962976462582946,4.482919006437929e-06
14,0.2955553512026004,9.555571711035832e-07
15,0.2948374289202179,3.361830507261988e-07
16,0.2942433951613109,1.0564078006430124e-06
17,0.2939114100031568,1.864242182249749e-06
18,0.2937697561948001,1.936613024034711e-06
19,0.29380253080878826,1.6146899297220066e-06
20,0.2939751571811707,1.0167326832117381e-06
21,0.29440379522025417,3.73951622574283e-07
22,0.29495653489321194,1.2814976619256504e-07
23,0.2956964716560768,1.0946941165073504e-07
24,0.29645290541418207,1.6408896085169726e-07
25,0.2973845991211634,5.508046095092272e-07
26,0.2980048449050684,9.693333465170628e-07
27,0.2987072281544139,1.603207243613562e-06
28,0.29914688783299503,1.9619950844761972e-06
29,0.2995917843396858,2.447199683701695e-06
30,0.29985572821136103,1.6103135786798104e-06
31,0.30023712955038373,1.3296403988317111e-06
32,0.30037274820336457,6.93142537955736e-07
33,0.3006456669651086,5.357506781042913e-07
34,0.300766451580021,3.8788092308466784e-07
35,0.3009367362121754,4.257575623615876e-07
36,0.3011454752810277,1.3831661220108245e-07
37,0.30138141922636785,1.6720720946625422e-07
38,0.30166690520459444,5.996555167835263e-08
39,0.3020059877508127,9.766102279129636e-08
40,0.30237931399311424,1.6109760981553565e-07
41,0.3027928218438806,1.761092820702162e-07
42,0.30319072247557055,2.4693042004621114e-07
43,0.303541707995362,3.465191339840797e-07
44,0.30383083970168223,4.2982869511699553e-07
45,0.3040672100493014,5.70307874566947e-07
46,0.3042346491123219,5.265287019916133e-07
47,0.30454310752624825,3.790090427600484e-07
48,0.30478298529032954,2.762014383874067e-07
49,0.3050821819592227,1.543329579924766e-07
50,0.3053915322192645,1.0745925952238738e-07
51,0.3056889803823803,2.2318674617284494e-07
52,0.3059951252480843,2.3819065358541452e-07
53,0.3062434047721276,3.0205897573262826e-07
54,0.30655642307545,2.979861535766926e-07
55,0.30673113453482787,2.453016832339664e-07
56,0.30696661678717235,2.534700769283283e-07
57,0.3072235556825112,2.4199320489158406e-07
58,0.30750385889075404,2.837768550952342e-07
59,0.30774031737862445,1.8348395346007502e-07
60,0.3081143525433886,1.5057736562430792e-07
61,0.30842179788379603,2.1690152848149816e-07
62,0.3085592533332707,2.922197988557734e-07
63,0.3087855254608064,3.0940086788164396e-07
64,0.30892814452638884,4.090924556840057e-07
65,0.3089835485159792,2.6258441979512476e-07
66,0.30900786376169453,9.91180888111258e-08
67,0.30906703120153356,1.2492017217162322e-07
68,0.30909351532033136,7.097939184044617e-08
69,0.3092011979176581,3.315864504016514e-08
70,0.3093983839256311,2.4849217505526663e-08
71,0.3095485316328568,2.0417616730609964e-08
72,0.30968822767560955,1.765440775452618e-08
73,0.3098199677506783,5.8826401155283776e-08
74,0.30994353194033264,1.461353916149834e-07
75,0.3099830228195389,1.3785729173562433e-07
76,0.3101861733016921,9.29839728419242e-08
77,0.3104000800668899,5.040132826789577e-08
78,0.31055583156376193,4.711378546290981e-08
79,0.3107442452119236,4.4109259639658795e-08
80,0.31107632111944195,1.1792920912807788e-07
81,0.3113193398010428,1.4019457230759485e-07
82,0.3115520261226873,1.0171336369070525e-07
83,0.3118599132576537,1.1904231818119926e-07
84,0.3121197103411199,2.5956700287403807e-07
85,0.3123020539739232,2.5263003757977286e-07
86,0.31239075924403037,2.624545171476457e-07
87,0.3124630995122654,2.701969905919336e-07
88,0.3125117404479717,1.6778100408223223e-07
89,0.3125223715359443,1.1152477833125082e-07
90,0.3125824660714399,8.465137052312564e-08
91,0.3127223001077871,5.5128927584568364e-08
92,0.312938855002405,2.4460781461096923e-08
93,0.3131184671899217,1.9847160936031907e-08
94,0.3133899130291712,6.132910758411903e-08
95,0.3135755014185953,8.953634541844928e-08
96,0.3136781315553672,1.4127972034064613e-07
97,0.3135755014185953,1.303633328589956e-07
98,0.3135755014185953,1.7719086172162224e-07
99,0.3135755014185953,1.3339943171530968e-07
100,0.3135755014185953,9.777972642190677e-08
