AoI,Error
0,0.0
1,0.11634652584039411
2,0.2055193679919652
3,0.28709958178294664
4,0.3591661390628868
5,0.4242443960453851
6,0.48284648562558113
7,0.5358325607884644
8,0.58378946956998
9,0.6275269983032362
10,0.667529101792995
11,0.7040996954264714
12,0.7376580695700221
13,0.7686620827195588
14,0.797283410514202
15,0.8231340667951011
16,0.844802817290317
17,0.8622531841319517
18,0.8763734400768032
19,0.8888918061112631
20,0.9004053319568219
21,0.911029560572133
22,0.9208176634163661
23,0.9295727182340435
24,0.9375537049968878
25,0.9448263747460471
26,0.951560570194874
27,0.9577686073777407
28,0.9635681586853437
29,0.9689666795431838
30,0.9739401631466493
31,0.9783491358747722
32,0.9821564480705754
33,0.985372323665414
34,0.9878939018173202
35,0.989927943436424
36,0.9916405369838072
37,0.9930874002015964
38,0.9942899731229523
39,0.9953458848055147
40,0.9962554713886855
