Epoch,Loss
1,92.79500330152801
2,66.24243080654117
3,55.5975101002146
4,48.091707826165525
5,42.42646979082322
6,38.393623839973344
7,35.65633417241112
8,33.88999636123179
9,32.805772542191114
10,32.158041993849075
11,31.76168948239376
12,31.494150580103792
13,31.29260154904125
14,31.137762330971494
15,31.016465233804528
16,30.91801542111167
17,30.836565077206966
18,30.768777857510038
19,30.7125296859339
20,30.665911054293893
21,30.62698895582404
22,30.59410416254702
23,30.566024322021843
24,30.541869047713995
25,30.520984390366923
26,30.50285746803775
27,30.48706320819586
28,30.473241967572203
29,30.461090938458334
30,30.450353128085254
31,30.440814287183855
32,30.43229592379101
33,30.424647715888906
34,30.417745356963195
35,30.411482474620747
36,30.405770940321563
37,30.40053556866061
38,30.39571325625043
39,30.391250213584804
40,30.387100591932352
41,30.3832251466595
42,30.379590064073412
43,30.376167048786517
44,30.372931369553687
45,30.369861451131598
46,30.36693912598743
47,30.364148817028585
48,30.36147669610111
49,30.35891044629227
50,30.35643996941828
