k,p(k)
1,0.5456355998841399
2,0.561166120638552
3,0.5740228038992498
4,0.5855828962458791
5,0.5947855655240957
6,0.6014919285905387
7,0.6060433125206813
8,0.6090666740779496
9,0.6109531772265236
10,0.6120604468731085
11,0.6124394518892197
12,0.6125230995543973
13,0.6119612324664695
14,0.6113189419054464
15,0.6106129876999622
16,0.609685404778322
17,0.6088994046012023
18,0.6084110185743805
19,0.6082093169796308
20,0.6078211266719307
21,0.6078459021745435
22,0.6078628194719322
23,0.6083078136443338
24,0.6085947110652677
25,0.6093476633325542
26,0.609846629050366
27,0.6105622400413651
28,0.6112459238444444
29,0.6118453033105398
30,0.6115482141531399
31,0.6123016783311691
32,0.6121605601282941
33,0.6126338401512368
34,0.6124237178601851
35,0.6127507474276648
36,0.6123389689619774
37,0.6126639963078644
38,0.6127002769193521
39,0.6126651133427098
40,0.6128175434188913
41,0.6130985902691609
42,0.6134961067824225
43,0.6134860070191255
44,0.6139930294541318
45,0.6142612178211133
46,0.6141417167591697
47,0.6144623380243611
48,0.6146014805323601
49,0.6145892755761231
50,0.6148256839181249
51,0.6153677555202673
52,0.6153047455409124
53,0.615510865759943
54,0.6156924819288804
55,0.6157515081087872
56,0.6161090299314969
57,0.616089318231561
58,0.6162813880245046
59,0.6161354949982364
60,0.616573106575501
61,0.6169828194915118
62,0.616978137576031
63,0.6172660375560064
64,0.6173456871646572
65,0.6174753306688174
66,0.6172742772679437
67,0.6175818075466083
68,0.6173976405043107
69,0.6173702986889398
70,0.6172872234651084
71,0.6174018348939336
72,0.6175457660596578
73,0.617755333715061
74,0.6178504994665276
75,0.617548135306179
76,0.6177932968716319
77,0.6178599598852299
78,0.6182600827701755
79,0.6181383124329989
80,0.6182372075651696
81,0.6183489427270163
82,0.6183218893385068
83,0.6185346611406863
84,0.6188659314373154
85,0.6191180162557727
86,0.6190124842189941
87,0.6192605868678154
88,0.6193212294104475
89,0.6193102780922539
90,0.6191060049442965
91,0.6191523846894611
92,0.6190499888608356
93,0.6192105625961604
94,0.6194570987906276
95,0.6193925994990682
96,0.6197045524871315
97,0.6196151333248412
98,0.6199924427792738
99,0.6198958918373931
100,0.6197859145584931
