k,p(k)
0,0.0
1,0.09817537680146833
2,0.10512143965705684
3,0.11178572002584285
4,0.11724464815268991
5,0.12164505826160682
6,0.12479711066336706
7,0.12624977123445266
8,0.1281927206656829
9,0.12924045143050594
10,0.1305254318759216
11,0.13084393050645562
12,0.13133451704267834
13,0.1320499998395343
14,0.13234762429939234
15,0.1328846877822453
16,0.13292747918336617
17,0.13293294181668674
18,0.13322284611755314
19,0.1334756813615141
20,0.13364436636102944
21,0.13428680467194623
22,0.13485896784149654
23,0.13481391986126573
24,0.13487040662572947
25,0.13545818275244736
26,0.1359581401334644
27,0.13674602024213242
28,0.13694777041802872
29,0.13741424072289443
30,0.13803388029693567
31,0.13843064517024473
32,0.13841660077292595
33,0.13875648708624183
34,0.1391025661633393
35,0.13929510304491186
36,0.1394384579992564
37,0.13996139601888508
38,0.13989137096490603
39,0.14003585861210885
40,0.1406188375231044
41,0.1406940764511274
42,0.14087502322970288
43,0.14124657909746074
44,0.14150090037074986
45,0.1418962907702649
46,0.14208842291942736
47,0.14253446825968422
48,0.1428880293345093
49,0.14346657309283056
50,0.14325663139753572
51,0.14417634262744042
52,0.14413220570779753
53,0.1445077713680243
54,0.14468022456686194
55,0.14517616770804911
56,0.14526878718784048
57,0.14519577434203368
58,0.14575198982225435
59,0.14620430741046175
60,0.1462177690846198
61,0.14687604282574282
62,0.1468793297633161
63,0.14733324284287613
64,0.14727841375745185
65,0.14763321561844697
66,0.14802025228252338
67,0.14832140154738227
68,0.14824844203311366
69,0.1487878022424585
70,0.1492743858263795
71,0.14915076927543552
72,0.14952325411925246
73,0.14950217696098958
74,0.14954675071287044
75,0.1493801364658517
76,0.15023719710638908
77,0.15036112572467733
78,0.1503915656617149
79,0.15078243355869622
80,0.1509077204810799
81,0.1514627551261818
82,0.1512529246817667
83,0.15183204063250708
84,0.152165426372048
85,0.15229767338107075
86,0.1525612567623335
87,0.15237820738178537
88,0.1528307273570261
89,0.15348447546442193
90,0.15333171289270028
91,0.1534790728703297
92,0.15390180377980225
93,0.1540286043749348
94,0.1544919245171965
95,0.15430623894547463
96,0.15461871089092055
97,0.1548654939085797
98,0.15510673032634084
99,0.15526195926892344
100,0.15545114851517758
