Frame,Vehicle_Count,Vehicle_Locations
0,2,"(409.0,456.0,477.0,479.0)|(567.0,263.0,611.0,282.0)"
1,0,
2,2,"(465.0,458.0,532.0,478.0)|(351.0,180.0,362.0,188.0)"
3,2,"(582.0,376.0,594.0,385.0)|(492.0,458.0,560.0,479.0)"
4,0,
5,3,"(546.0,460.0,612.0,479.0)|(613.0,462.0,639.0,478.0)|(275.0,463.0,326.0,478.0)"
6,3,"(351.0,180.0,362.0,188.0)|(128.0,167.0,141.0,174.0)|(573.0,460.0,638.0,479.0)"
7,5,"(336.0,463.0,383.0,478.0)|(297.0,211.0,344.0,234.0)|(128.0,166.0,142.0,174.0)|(207.0,80.0,311.0,108.0)|(599.0,462.0,639.0,479.0)"
8,0,
9,2,"(398.0,464.0,442.0,479.0)|(258.0,84.0,310.0,108.0)"
10,1,"(423.0,462.0,472.0,479.0)"
11,1,"(582.0,377.0,594.0,385.0)"
12,1,"(481.0,466.0,524.0,479.0)"
13,3,"(511.0,466.0,551.0,479.0)|(351.0,180.0,362.0,189.0)|(580.0,377.0,594.0,385.0)"
14,0,
15,2,"(582.0,376.0,594.0,385.0)|(259.0,84.0,312.0,108.0)"
16,1,"(581.0,376.0,594.0,385.0)"
17,0,
18,2,"(383.0,218.0,427.0,239.0)|(351.0,180.0,362.0,188.0)"
19,1,"(271.0,462.0,317.0,478.0)"
20,3,"(298.0,462.0,345.0,478.0)|(572.0,254.0,619.0,280.0)|(209.0,268.0,263.0,292.0)"
21,2,"(562.0,434.0,620.0,457.0)|(567.0,255.0,614.0,280.0)"
22,2,"(128.0,166.0,141.0,174.0)|(561.0,254.0,608.0,280.0)"
23,7,"(581.0,376.0,594.0,386.0)|(554.0,253.0,602.0,280.0)|(453.0,220.0,500.0,246.0)|(513.0,284.0,562.0,307.0)|(596.0,232.0,639.0,256.0)|(383.0,464.0,430.0,479.0)|(624.0,438.0,639.0,458.0)"
24,6,"(550.0,254.0,597.0,280.0)|(451.0,220.0,499.0,245.0)|(593.0,230.0,639.0,256.0)|(511.0,229.0,562.0,251.0)|(410.0,465.0,458.0,478.0)|(506.0,285.0,554.0,307.0)"
25,5,"(592.0,230.0,639.0,256.0)|(582.0,376.0,594.0,385.0)|(545.0,254.0,592.0,279.0)|(258.0,84.0,310.0,108.0)|(442.0,424.0,450.0,430.0)"
26,4,"(591.0,228.0,639.0,256.0)|(322.0,212.0,361.0,218.0)|(467.0,466.0,509.0,478.0)|(361.0,217.0,405.0,237.0)"
27,4,"(328.0,304.0,384.0,332.0)|(495.0,467.0,536.0,479.0)|(322.0,210.0,361.0,219.0)|(589.0,229.0,637.0,256.0)"
28,4,"(351.0,180.0,362.0,188.0)|(322.0,211.0,360.0,219.0)|(448.0,220.0,497.0,246.0)|(589.0,228.0,634.0,255.0)"
29,5,"(606.0,287.0,639.0,312.0)|(588.0,228.0,633.0,255.0)|(447.0,220.0,497.0,246.0)|(507.0,228.0,558.0,252.0)|(525.0,252.0,573.0,278.0)"
30,0,
31,0,
32,0,
33,2,"(505.0,228.0,556.0,277.0)|(617.0,252.0,639.0,280.0)"
34,1,"(582.0,228.0,629.0,254.0)"
35,0,
36,1,"(351.0,180.0,362.0,188.0)"
37,0,
38,1,"(592.0,253.0,639.0,280.0)"
39,0,
40,1,"(258.0,85.0,311.0,108.0)"
41,0,
42,2,"(582.0,376.0,594.0,385.0)|(500.0,228.0,550.0,250.0)"
43,0,
44,1,"(128.0,167.0,141.0,174.0)"
45,0,
46,1,"(251.0,363.0,282.0,374.0)"
47,0,
48,2,"(128.0,167.0,141.0,174.0)|(576.0,233.0,618.0,253.0)"
49,0,
50,0,
51,3,"(581.0,376.0,594.0,386.0)|(258.0,84.0,312.0,108.0)|(519.0,192.0,572.0,218.0)"
52,1,"(351.0,180.0,362.0,188.0)"
53,1,"(128.0,167.0,141.0,174.0)"
54,0,
55,1,"(354.0,463.0,413.0,479.0)"
56,0,
57,3,"(571.0,233.0,614.0,253.0)|(406.0,463.0,465.0,479.0)|(351.0,180.0,362.0,188.0)"
58,4,"(433.0,463.0,492.0,479.0)|(351.0,180.0,362.0,188.0)|(569.0,233.0,613.0,253.0)|(590.0,228.0,628.0,235.0)"
59,1,"(351.0,180.0,362.0,188.0)"
60,0,
61,3,"(512.0,466.0,568.0,479.0)|(351.0,180.0,362.0,188.0)|(582.0,377.0,594.0,385.0)"
62,2,"(351.0,180.0,362.0,188.0)|(208.0,0.0,639.0,116.0)"
63,2,"(565.0,466.0,619.0,479.0)|(566.0,233.0,609.0,253.0)"
64,0,
65,0,
66,1,"(582.0,376.0,594.0,385.0)"
67,0,
68,1,"(582.0,376.0,594.0,385.0)"
69,5,"(557.0,233.0,601.0,252.0)|(128.0,168.0,141.0,174.0)|(219.0,172.0,231.0,181.0)|(433.0,223.0,483.0,248.0)|(457.0,216.0,498.0,226.0)"
70,0,
71,1,"(209.0,0.0,639.0,117.0)"
72,4,"(128.0,167.0,141.0,174.0)|(489.0,308.0,525.0,314.0)|(287.0,462.0,344.0,479.0)|(206.0,80.0,311.0,108.0)"
73,0,
74,0,
