Frame,k=0,k=1,k=2,k=3,k=4,k=5,k=6,k=7,k=8,k=9,k=10,k=11,k=12,k=13,k=14,k=15,k=16,k=17,k=18,k=19,k=20,k=21,k=22,k=23,k=24,k=25,k=26,k=27,k=28,k=29,k=30,k=31,k=32,k=33,k=34,k=35,k=36,k=37,k=38,k=39,k=40,k=41,k=42,k=43,k=44,k=45,k=46,k=47,k=48,k=49,k=50,k=51,k=52,k=53,k=54,k=55,k=56,k=57,k=58,k=59,k=60,k=61,k=62,k=63,k=64,k=65,k=66,k=67,k=68,k=69,k=70,k=71,k=72,k=73,k=74,k=75,k=76,k=77,k=78,k=79,k=80,k=81,k=82,k=83,k=84,k=85,k=86,k=87,k=88,k=89,k=90,k=91,k=92,k=93,k=94,k=95,k=96,k=97,k=98,k=99,k=100
10,0.0,0.12624546316203156,0.15101757901236001,0.14602534898662456,0.17232187231735419,0.20148111441471206,0.32794504839993543,0.21516435778458998,0.2333335154359263,0.22088422405958374,0.357764077270859,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
11,0.0,0.09409910016296263,0.1379963599317774,0.16247988325075136,0.16925773729130145,0.19677711328413494,0.21321412996075007,0.3340939856894217,0.22653161645592712,0.2314219845980282,0.22457965711262595,0.3641179317883928,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,0.0,0.12552810139546788,0.15739985993593786,0.196818708756911,0.18532373935859392,0.217321319022721,0.2468268531286305,0.2522331721231489,0.36407353631510575,0.261649136192708,0.2661641289046969,0.2617374649354596,0.38666004759258155,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,0.0,0.28671771254202805,0.2794006476435478,0.2971375093865931,0.2932411657234526,0.3421985913700669,0.33390979408673604,0.3302940132674511,0.3381706457462321,0.2741924648373326,0.3794667783361251,0.37972629759436693,0.37900712556061,0.2997587163710942,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,0.0,0.15586709640849206,0.3095269273908414,0.3008515309924289,0.3126987996892914,0.3406148062144081,0.35947880550274014,0.34020811053962763,0.3655080213903743,0.375874951689784,0.2878247075153678,0.3800532731179024,0.3884994346632208,0.38190357874547753,0.30336386918833724,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,0.0,0.15564071984670425,0.19726858877086495,0.29498735564600376,0.3200755881563646,0.3356758049002875,0.35949420740322124,0.34527227056607157,0.3529090016074299,0.3811619198057199,0.3725193452301374,0.28883159080140064,0.38218490869915334,0.393453645105175,0.3886815249519946,0.30867269157123167,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
16,0.0,0.16438047824590207,0.18809107290830884,0.19373738021217268,0.34698911113937636,0.34032618594254493,0.35603125651634715,0.35082423580786026,0.3695341352603134,0.3772747252747253,0.3719575405481287,0.3718030963989394,0.31718850149354816,0.4076533670105741,0.4097746345067821,0.4040805214355492,0.33395953497026043,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,0.0,0.183598656720244,0.18607243053509437,0.2138700075525345,0.22455213610865987,0.3359863310569958,0.33116720547736456,0.34582106038291605,0.37006799121669887,0.36842276281870767,0.3702413347254757,0.38081219289976354,0.37541597773080226,0.28578666119829677,0.3821036357820663,0.3792139277235558,0.38136951974431665,0.2948461172960911,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,0.0,0.1488675417431985,0.1825325550067355,0.2307778840204736,0.24443681747269885,0.2320690926973199,0.36939887201549637,0.3478197596076106,0.36295025728987995,0.3511187976205137,0.3789493514182679,0.3715873882739714,0.36464247138760153,0.354468967199122,0.2991349636325541,0.38493028901180215,0.37623254608995405,0.3817834293450848,0.3075751694485086,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,0.0,0.2532527247956403,0.2666433905100857,0.31911090818991195,0.3322497180388775,0.3217961129733571,0.3503168240010345,0.24597697407684715,0.21855803427093434,0.2302868411421205,0.2457905764788051,0.2655846551088159,0.2435972092512223,0.2643692851703332,0.2732040211029161,0.38071291387362716,0.2600939271605138,0.2574531835205992,0.24821757503521513,0.36637380710220513,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,0.0,0.16756619760496283,0.321815513204038,0.3308453693234038,0.3841342662882038,0.3842618077727623,0.39762622684307947,0.40536028636706567,0.2958969589479604,0.2833567130469634,0.2988629569582617,0.3135038352332924,0.3233789084569565,0.30740104953227365,0.3201492852913812,0.3118813704699611,0.4172886474403409,0.3025126443621021,0.3009566920286365,0.29688124750099965,0.41252046312854895,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
21,0.0,0.16775934324588093,0.1363121302364778,0.28749084777351286,0.30669400779660827,0.34322203079279134,0.3524099828538769,0.3481308667727946,0.36023230118018823,0.2691102773611993,0.23720284105036704,0.25506166343629366,0.2570785464568689,0.2720460691468157,0.256723118396452,0.27132516615467583,0.2593120110567768,0.36834499135050336,0.2553800613629489,0.2503173081557568,0.2529864170535454,0.3706422314356236,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,0.0,0.22828557383685621,0.31958926107705876,0.29611089718906436,0.22400862095660412,0.22577991638009942,0.2722682770835383,0.27196114401093285,0.2683349266851247,0.2819634015588671,0.38577270931436936,0.36534595994883423,0.37478613913425907,0.37757247531060845,0.3799637814743325,0.37932325117167154,0.38530652872565163,0.37114737799589614,0.27637237928017766,0.36992911181271226,0.36610709287924037,0.3672181246827857,0.27416432786965783,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,0.0,0.11683317501392121,0.2593213474044238,0.3408410233740399,0.31279576775153595,0.24349122466789486,0.23876054695330484,0.28629784050249496,0.2755639006368188,0.27670300393517955,0.27675433353257617,0.384830985319626,0.36029866996861726,0.37115870693095654,0.374653094110894,0.38281492751604507,0.3758723292064158,0.3784236209446904,0.36443984100612004,0.26819287364708744,0.368829023104116,0.363079917466125,0.36411687212826804,0.26755332772309837,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,0.0,0.12934657390543247,0.16434648845655486,0.2913253703662818,0.36714193306408216,0.33085558170358953,0.2767661880764477,0.2684499256809594,0.30217731623666066,0.2968963697003143,0.29282533459183424,0.29055467643380806,0.3926480412837522,0.36743420179003006,0.3682488597126903,0.37626469783975935,0.3884169183645154,0.3775868738314745,0.3780512194351757,0.37789279459594693,0.2872178643344453,0.3739369805168774,0.37367970763445857,0.367429685621945,0.28266478155002506,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
25,0.0,0.12116461075982166,0.14850631391360447,0.17570352653808963,0.2943444588070222,0.3694213436670005,0.3386312226355199,0.2705508740662771,0.27652463001358407,0.30661981342369315,0.3059594327768803,0.299442130902805,0.30055006410521523,0.3976276729427476,0.36776082847482894,0.3779526722746198,0.3817270405750497,0.38635279999571415,0.37652544200086246,0.3732250877202268,0.3685809337110363,0.2725647899910635,0.3705008539113436,0.3538985921229628,0.36659485992326324,0.27740974838944943,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
26,0.0,0.2753802727668697,0.3054808721055928,0.30881123835564883,0.33015154442818895,0.2136808606697279,0.26044494471297097,0.23383666002239034,0.38066250212476627,0.38121148098799773,0.3867401824587148,0.38057222140925373,0.40161327643637024,0.401851529856841,0.25881368457659537,0.264373202339786,0.2731271847270772,0.2781247672451401,0.26039768110850037,0.25953146027299445,0.2749907891434704,0.2670971170453036,0.37389224544695254,0.25384838485490235,0.26016308360594775,0.25268650125124714,0.37822407052967744,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
