AoI,Error
0,0.0
1,0.37453486772178823
2,0.583091326709128
3,0.7297117389803827
4,0.8328797915151297
5,0.8878805831191322
6,0.9186377847614242
7,0.9370442725343403
8,0.9501688965255873
9,0.9571770499320393
10,0.9617149390036118
11,0.9641875672497399
12,0.9654730507991657
13,0.9670365114708206
14,0.9671303931516573
15,0.9680197659545416
16,0.9681687065921671
17,0.9690361449901707
18,0.9693722095579841
19,0.9703422863133045
20,0.9693338968699584
21,0.969547560427541
22,0.9718782577116851
23,0.9731231422635301
24,0.9743532566073093
25,0.9744430244787116
26,0.9747453309124796
27,0.9737843475019945
28,0.9742622958291821
29,0.9754640771128396
30,0.9753633563161959
31,0.9752914448616542
32,0.9747612154632976
33,0.9766894846441587
34,0.9778254856253623
35,0.9794891176870127
36,0.9797534331779152
37,0.978852458182883
38,0.9802107117280713
39,0.9798674948735225
40,0.9803463425572834
