k,p(k)
0,0.0
1,0.22353011599348727
2,0.2521656283226427
3,0.2764779965870772
4,0.2948730951727919
5,0.31033115589565735
6,0.3224016728264236
7,0.332205245894497
8,0.3391451555261498
9,0.34466471681571703
10,0.3483452156709393
11,0.35101139336756665
12,0.3529743012580093
13,0.35364344609246295
14,0.3542919136915308
15,0.3541086260868976
16,0.3534578614310592
17,0.3528365638064535
18,0.3526587574999453
19,0.3509168489081957
20,0.3505746641530406
21,0.3497171497221677
22,0.3496546126470481
23,0.35021761921127736
24,0.3497430569626397
25,0.3501399333876384
26,0.3510333643773077
27,0.3516032221536498
28,0.35155739488383375
29,0.35254545419368266
30,0.3525102752674685
31,0.3539852363315217
32,0.35494101013933727
33,0.3554948095234383
34,0.3559896112023351
35,0.35671242533172604
36,0.35768032363264
37,0.3572310872699741
38,0.35720940492659703
39,0.35816896801488324
40,0.35837243335809194
41,0.3583197492910485
42,0.35861846138477343
43,0.35886288757093615
44,0.35910008521875225
45,0.35954998657103643
46,0.35950615190938
47,0.3601153268140735
48,0.35917124207658124
49,0.35989891862421325
50,0.36016916621626255
51,0.3599099051231624
52,0.36036442419720666
53,0.3605396251702829
54,0.36119056635123836
55,0.3605966771806798
56,0.36153142233686963
57,0.36159216854291587
58,0.36214176585962293
59,0.3613914206495388
60,0.36162318047838254
61,0.3622291482105514
62,0.36239199835569674
63,0.3622200591941308
64,0.36268597058511964
65,0.36282962289967136
66,0.36327187120705484
67,0.36405798757885555
68,0.364454303063771
69,0.3635648102942559
70,0.36377361996031743
71,0.36424107432513275
72,0.36460204944649255
73,0.364343121244473
74,0.3646548455231821
75,0.36441918594061284
76,0.364370731861036
77,0.3642238216205663
78,0.36394711773341515
79,0.36403911460333394
80,0.36438545157569086
81,0.36415798112423453
82,0.36439926865764843
83,0.36467827926148993
84,0.3656035337618805
85,0.3656020909415827
86,0.36539004243414036
87,0.36633885050975873
88,0.3665907510903939
89,0.3668386717580563
90,0.3662747439360267
91,0.36640422049899335
92,0.36745740537188254
93,0.3671926722930861
94,0.3670413676313615
95,0.36774148869466683
96,0.3672830066944047
97,0.36810641564885416
98,0.3684817842952173
99,0.36783873140885787
100,0.36716561547508075
