k,p(k)
0,0.6343480494504262
1,0.6699256603762683
2,0.6989160895847919
3,0.7218725566157519
4,0.7412646474439023
5,0.7556744316120747
6,0.7649126263736039
7,0.7703960793286555
8,0.7734501914866967
9,0.7752429525659295
10,0.7757542606646715
11,0.7756096704597778
12,0.7749178836690791
13,0.7734567815968296
14,0.7715328189724777
15,0.7693832861369551
16,0.7672106912001254
17,0.7652261773009515
18,0.7634063834035049
19,0.7619606870614551
20,0.7607520259639408
21,0.7599433110343338
22,0.7593273751768203
23,0.7591804696866117
24,0.759462778586109
25,0.7600223475141815
26,0.7605940516176742
27,0.7612658679416646
28,0.7618647988348447
29,0.7623195660003986
30,0.7627477208294368
31,0.7633962411795786
32,0.7639026525165262
33,0.7641015032897038
34,0.764316061012459
35,0.7644129807026456
36,0.7642782120901
37,0.7639752234680142
38,0.7635635720650409
39,0.7632893767708451
40,0.7629054046006959
41,0.7628320295090791
42,0.7630380357744841
43,0.7630546361278234
44,0.7630879860095465
45,0.7630508815138995
46,0.7630299563179765
47,0.7627854944595609
48,0.7626429254491685
49,0.7625640755550906
50,0.7625886195390411
51,0.7624173602299906
52,0.7625656487721254
53,0.7626798550646456
54,0.7626697998822187
55,0.7629147830609391
56,0.7632839700397371
57,0.7635409086367254
58,0.7635671678206564
59,0.7637568719066743
60,0.7640746053887277
61,0.7644764171080641
62,0.7648216728371766
63,0.764948454800673
64,0.765016293259982
65,0.7650388300684842
66,0.7649935713058706
67,0.7648866006862212
68,0.7650268594374806
69,0.765008929883188
70,0.7649860788203393
71,0.7648949434203736
72,0.7650593031070829
73,0.765045302398979
74,0.7651289101095933
75,0.7652739582457051
76,0.7653498461391836
77,0.7651619649307887
78,0.7649581078068112
79,0.7647832393911316
80,0.7647683931439818
81,0.7648265486539435
82,0.7650887211019582
83,0.7655306824274718
84,0.7656522963628495
85,0.7655883235446396
86,0.7655443255089084
87,0.7654580813639619
88,0.7654257478379163
89,0.7654467485326139
90,0.7654032492280749
91,0.7652164194492079
92,0.7652668689324473
93,0.7654838174641962
94,0.7655736527527598
95,0.7656568341684991
96,0.7658330993294353
97,0.7659121083841869
98,0.766060974426155
99,0.7661926517579892
100,0.7663005225435279
