Epoch,Loss
1,94.47572941868408
2,70.79601873500508
3,58.498335681985935
4,50.87415173962926
5,45.39475680379817
6,41.58604175144359
7,39.06934715906229
8,37.4969549989626
9,36.569761668808304
10,36.042949617414585
11,35.74165566041434
12,35.55952548766107
13,35.439763151858536
14,35.35422423060468
15,35.28867014646737
16,35.235518629666075
17,35.190630416381474
18,35.15163758825798
19,35.117342714663295
20,35.087335470660825
21,35.061239656247295
22,35.038413600647594
23,35.018183798820516
24,35.00000916101826
25,34.983489593048915
26,34.96832742273384
27,34.9542978282451
28,34.94123170531413
29,34.929009000921155
30,34.91755291795326
31,34.906822942172816
32,34.89680431135513
33,34.887494566780234
34,34.878892574340014
35,34.870987473339774
36,34.86375397498455
37,34.85715316698504
38,34.85113754028141
39,34.845652463878956
40,34.84064250580885
41,34.83605453863634
42,34.83183828852097
43,34.82794823100952
44,34.8243444613443
45,34.82099208333242
46,34.81786058071639
47,34.81492385448253
48,34.81215937104175
49,34.80954770693549
50,34.807073309199914
