Epoch,Loss
1,94.03754687294723
2,68.6511248034904
3,59.37603666566957
4,52.734990882325114
5,47.679532084905844
6,44.132038323526295
7,41.83706473888727
8,40.44125891932526
9,39.640011550678636
10,39.19780021076513
11,38.9541944819709
12,38.81339296422541
13,38.7234013334658
14,38.65740255375944
15,38.601801812508555
16,38.5496154357054
17,38.498342259270686
18,38.44925037971344
19,38.40417966870073
20,38.36440876110449
21,38.33011074320431
22,38.30012805496991
23,38.27329856883859
24,38.248874133832054
25,38.22631716314816
26,38.2052004575584
27,38.18520445764257
28,38.166141618032476
29,38.14796241679819
30,38.13072952239929
31,38.11455723582281
32,38.09954522579838
33,38.085733442114574
34,38.073089264240416
35,38.06152418269049
36,38.05091643061301
37,38.04113432467165
38,38.03204699618752
39,38.023531761611494
40,38.01548499692096
41,38.00783184404166
42,38.00053540740246
43,37.99359684234776
44,37.98703693045217
45,37.9808745899817
46,37.97511349337602
47,37.969740386082755
48,37.96472883810303
49,37.96004733771743
50,37.95566010847006
