Epoch,Loss
1,90.79253582289468
2,66.52604461416074
3,56.99777042507534
4,50.076216957604636
5,45.23701438508417
6,41.97632985928677
7,39.88672132868352
8,38.63397692595715
9,37.9210180018943
10,37.51733505758048
11,37.276861228507606
12,37.12015469653008
13,37.00544044707941
14,36.91304485732053
15,36.838857971887826
16,36.78045161120745
17,36.733094188064534
18,36.693139688176004
19,36.65823732237712
20,36.62686616146505
21,36.59804925485808
22,36.571187919694445
23,36.54594406833654
24,36.52215197626052
25,36.49973945527965
26,36.47867267715963
27,36.458919400548325
28,36.44043762024952
29,36.42317367964387
30,36.407068597285054
31,36.39206448520022
32,36.37810748874202
33,36.36514633128207
34,36.35313276110309
35,36.34201523609957
36,36.33173890583566
37,36.32224561021611
38,36.31347277039654
39,36.30535813049099
40,36.29783993034805
41,36.29085907721372
42,36.28436009433874
43,36.278291700110806
44,36.2726059315481
45,36.267258879262265
46,36.26221031100583
47,36.25742317427638
48,36.252863600635955
49,36.2485007345962
50,36.24430692400441
